player1,player2,player3,player4,player5,Tm,GP,Min,NETRTG,Poss
GHaywardBOS ,MSmartBOS ,JBrownBOS ,JTatumBOS ,DTheisBOS ,BOS ,12,150,1.9,319
JRedickNOP ,JHolidayNOP ,DFavorsNOP ,BIngramNOP ,LBallNOP ,NOP ,21,146,-1,325
LJamesLAL ,DHowardLAL ,RRondoLAL ,KCaldwell-PopeLAL ,KKuzmaLAL ,LAL ,25,145,13.8,294
NBjelicaSAC ,HBarnesSAC ,BBogdanovicSAC ,DFoxSAC ,HGilesISAC ,SAC ,15,142,-20.6,294
KWalkerBOS ,MSmartBOS ,JBrownBOS ,JTatumBOS ,DTheisBOS ,BOS ,13,141,3.4,293
NVucevicORL ,EFournierORL ,KBirchORL ,AGordonORL ,MFultzORL ,ORL ,11,141,-7.1,283
WBartonDEN ,JGrantDEN ,NJokicDEN ,MMorrisDEN ,TCraigDEN ,DEN ,14,141,-11.7,281
BLopezMIL ,WMatthewsMIL ,EBledsoeMIL ,GAntetokounmpoMIL ,DDiVincenzoMIL ,MIL ,18,139,15,311
CAnthonyPOR ,TArizaPOR ,HWhitesidePOR ,CMcCollumPOR ,GTrentPOR ,POR ,9,138,-1.6,293
DAugustinORL ,TRossORL ,MCarter-WilliamsORL ,AGordonORL ,MBambaORL ,ORL ,20,136,4.1,282
NVucevicORL ,EFournierORL ,AGordonORL ,MFultzORL ,WIwunduORL ,ORL ,16,136,-5.3,282
KLowryTOR ,SIbakaTOR ,PMcCawTOR ,FVanVleetTOR ,OAnunobyTOR ,TOR ,8,135,-8.7,288
JValanciunasMEM ,KAndersonMEM ,DBrooksMEM ,DMeltonMEM ,JMorantMEM ,MEM ,9,133,8.4,275
RGaySAS ,PMillsSAS ,JPoeltlSAS ,DWhiteSAS ,LWalkerSAS ,SAS ,25,130,10.2,292
DRussellMIN ,MBeasleyMIN ,JHernangomezMIN ,JOkogieMIN ,NReidMIN ,MIN ,11,127,-6.7,285
JValanciunasMEM ,KAndersonMEM ,DBrooksMEM ,JJacksonMEM ,JMorantMEM ,MEM ,14,126,-11.3,275
BBogdanovicUTA ,RGobertUTA ,JClarksonUTA ,RO'NealeUTA ,DMitchellUTA ,UTA ,24,124,5.1,270
PBeverleyLAC ,PGeorgeLAC ,MMorrisLAC ,KLeonardLAC ,IZubacLAC ,LAC ,8,124,19.4,251
DGreenGSW ,GRobinsonIGSW ,DRussellGSW ,WCauley-SteinGSW ,DLeeGSW ,GSW ,10,123,-4.5,260
TGibsonNYK ,MMorrisNYK ,RBullockNYK ,EPaytonNYK ,JRandleNYK ,NYK ,8,123,4.4,245
THardawayDAL ,SCurryDAL ,KPorzingisDAL ,DFinney-SmithDAL ,LDoncicDAL ,DAL ,12,122,11.7,266
MMorrisNYK ,EPaytonNYK ,JRandleNYK ,MRobinsonNYK ,RBarrettNYK ,NYK ,14,120,0.4,258
TSatoranskyCHI ,OPorterCHI ,ZLaVineCHI ,LMarkkanenCHI ,WCarterCHI ,CHI ,9,119,3.4,251
WChandlerBKN ,DJordanBKN ,GTempleBKN ,CLeVertBKN ,TLuwawu-CabarrotBKN ,BKN ,11,119,11.1,246
AHorfordPHI ,THarrisPHI ,JRichardsonPHI ,BSimmonsPHI ,MThybullePHI ,PHI ,22,118,3,243
