player1,player2,player3,player4,player5,Tm,GP,Min,NETRTG,Poss
DGallinariOKC ,NNoelOKC ,DSchroderOKC ,SGilgeous-AlexanderOKC ,LDortOKC ,OKC ,19,53,1.4,109
GDiengMIN ,RCovingtonMIN ,SNapierMIN ,KMartinMIN ,JCulverMIN ,MIN ,5,53,23.7,113
JCrowderMEM ,SHillMEM ,DBrooksMEM ,JJacksonMEM ,JMorantMEM ,MEM ,16,53,4.2,121
JValanciunasMEM ,SHillMEM ,KAndersonMEM ,DBrooksMEM ,JMorantMEM ,MEM ,18,53,-8.2,112
PTuckerHOU ,EGordonHOU ,JHardenHOU ,CCapelaHOU ,DHouseHOU ,HOU ,13,53,-0.9,118
RJacksonDET ,TSnellDET ,CWoodDET ,TMakerDET ,BBrownDET ,DET ,4,53,1.9,98
DBertansWAS ,IThomasWAS ,BBealWAS ,TBryantWAS ,RHachimuraWAS ,WAS ,13,52,-13.6,111
TYoungCHI ,TSatoranskyCHI ,ZLaVineCHI ,LKornetCHI ,CHutchisonCHI ,CHI ,6,52,-32.9,113
JButlerMIA ,MLeonardMIA ,BAdebayoMIA ,DRobinsonMIA ,THerroMIA ,MIA ,9,51,18.8,103
JHolidayIND ,TWarrenIND ,MTurnerIND ,DSabonisIND ,AHolidayIND ,IND ,10,51,-4.5,108
LAldridgeSAS ,RGaySAS ,PMillsSAS ,DWhiteSAS ,LWalkerSAS ,SAS ,17,51,-19.6,100
LJamesLAL ,DGreenLAL ,ABradleyLAL ,ADavisLAL ,KKuzmaLAL ,LAL ,25,51,9.1,120
MHarklessNYK ,EPaytonNYK ,JRandleNYK ,MRobinsonNYK ,RBarrettNYK ,NYK ,7,51,28.1,112
RRubioPHX ,ABaynesPHX ,KOubrePHX ,DBookerPHX ,MBridgesPHX ,PHX ,15,51,26.7,116
SHillMEM ,KAndersonMEM ,TJonesMEM ,DMeltonMEM ,BClarkeMEM ,MEM ,15,51,6.9,118
ATolliverPOR ,HWhitesidePOR ,DLillardPOR ,KBazemorePOR ,CMcCollumPOR ,POR ,12,50,5.3,114
CAnthonyPOR ,ATolliverPOR ,CMcCollumPOR ,ASimonsPOR ,GTrentPOR ,POR ,11,50,-1.9,98
DBertansWAS ,SNapierWAS ,TBrownWAS ,JRobinsonWAS ,MWagnerWAS ,WAS ,6,50,-19.8,121
GDragicMIA ,JButlerMIA ,DJonesMIA ,BAdebayoMIA ,KNunnMIA ,MIA ,20,50,-10.8,104
GDragicMIA ,JButlerMIA ,KOlynykMIA ,BAdebayoMIA ,THerroMIA ,MIA ,14,50,16.2,104
KOlynykMIA ,DJonesMIA ,BAdebayoMIA ,DRobinsonMIA ,KNunnMIA ,MIA ,5,50,-4.8,104
KWalkerBOS ,JBrownBOS ,JTatumBOS ,SOjeleyeBOS ,DTheisBOS ,BOS ,6,50,14.3,101
PMillsapDEN ,GHarrisDEN ,NJokicDEN ,JMurrayDEN ,TCraigDEN ,DEN ,7,50,-11.3,99
PMillsapDEN ,WBartonDEN ,GHarrisDEN ,NJokicDEN ,MMorrisDEN ,DEN ,17,50,33.2,107
PTuckerHOU ,JHardenHOU ,ARiversHOU ,BMcLemoreHOU ,CCapelaHOU ,HOU ,15,50,24,112
SCurryDAL ,DWrightDAL ,DFinney-SmithDAL ,MKleberDAL ,LDoncicDAL ,DAL ,17,50,-12.9,108
THardawayDAL ,SCurryDAL ,KPorzingisDAL ,MKleberDAL ,LDoncicDAL ,DAL ,19,50,19.7,115
ATolliverMEM ,GDiengMEM ,TJonesMEM ,JJacksonMEM ,JKoncharMEM ,MEM ,5,49,27.9,106
CPaulOKC ,SAdamsOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,DBazleyOKC ,OKC ,8,49,3.1,96
DAugustinORL ,AAminuORL ,TRossORL ,EFournierORL ,MBambaORL ,ORL ,6,49,-13.6,103
DSaricPHX ,TJohnsonPHX ,KOubrePHX ,FKaminskyPHX ,DBookerPHX ,PHX ,11,49,-24.3,105
ISmithWAS ,BBealWAS ,MWagnerWAS ,RHachimuraWAS ,IBongaWAS ,WAS ,8,49,-26.6,105
KLoveCLE ,ADrummondCLE ,COsmanCLE ,CSextonCLE ,DGarlandCLE ,CLE ,4,49,-31.2,110
LWilliamsLAC ,KLeonardLAC ,MHarklessLAC ,JGreenLAC ,MHarrellLAC ,LAC ,8,49,-5.4,109
MWilliamsCHA ,CZellerCHA ,MMonkCHA ,DGrahamCHA ,CMartinCHA ,CHA ,12,49,-0.1,105
RRondoLAL ,ABradleyLAL ,ADavisLAL ,KCaldwell-PopeLAL ,KKuzmaLAL ,LAL ,18,49,18,109
SCurryDAL ,DWrightDAL ,JJacksonDAL ,MKleberDAL ,JBrunsonDAL ,DAL ,16,49,18.2,100
CPaulOKC ,DGallinariOKC ,SAdamsOKC ,ANaderOKC ,SGilgeous-AlexanderOKC ,OKC ,6,48,-24.2,100
DGallinariOKC ,DSchroderOKC ,SAdamsOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,OKC ,19,48,-4.9,103
DRoseDET ,MMorrisDET ,ADrummondDET ,LGallowayDET ,SMykhailiukDET ,DET ,16,48,-28,105
GDragicMIA ,KOlynykMIA ,DJonesMIA ,BAdebayoMIA ,THerroMIA ,MIA ,9,48,-16.6,102
KAndersonMEM ,TJonesMEM ,JJacksonMEM ,DMeltonMEM ,BClarkeMEM ,MEM ,19,48,39.2,107
KLoveCLE ,MDellavedovaCLE ,JClarksonCLE ,LNanceCLE ,KPorterCLE ,CLE ,11,48,-25.6,108
LWilliamsLAC ,KLeonardLAC ,JGreenLAC ,MHarrellLAC ,LShametLAC ,LAC ,19,48,15.6,106
BBogdanovicUTA ,RGobertUTA ,JClarksonUTA ,EMudiayUTA ,RO'NealeUTA ,UTA ,14,47,-15.4,97
CPaulOKC ,DSchroderOKC ,SAdamsOKC ,ANaderOKC ,TFergusonOKC ,OKC ,12,47,1,102
JValanciunasMEM ,SHillMEM ,DBrooksMEM ,GAllenMEM ,JMorantMEM ,MEM ,15,47,-21.6,103
LAldridgeSAS ,DDeRozanSAS ,PMillsSAS ,TLylesSAS ,DWhiteSAS ,SAS ,31,47,-18.9,101
NBjelicaSAC ,CJosephSAC ,BBogdanovicSAC ,RHolmesSAC ,BHieldSAC ,SAC ,16,47,-17.9,97
PTuckerHOU ,RWestbrookHOU ,JHardenHOU ,BMcLemoreHOU ,DHouseHOU ,HOU ,16,47,32.4,106
VOladipoIND ,TWarrenIND ,MTurnerIND ,DSabonisIND ,AHolidayIND ,IND ,2,47,18.6,97
WBartonDEN ,GHarrisDEN ,JGrantDEN ,NJokicDEN ,MMorrisDEN ,DEN ,24,47,15.3,98
AAminuORL ,NVucevicORL ,EFournierORL ,AGordonORL ,MFultzORL ,ORL ,9,46,17.4,99
ALenATL ,JParkerATL ,TYoungATL ,CReddishATL ,DHunterATL ,ATL ,18,46,-11.3,101
HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,RHoodPOR ,ZCollinsPOR ,POR ,3,46,25.7,99
JCrowderMEM ,DBrooksMEM ,JJacksonMEM ,JMorantMEM ,BClarkeMEM ,MEM ,24,46,-35,106
NNoelOKC ,DSchroderOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,DBazleyOKC ,OKC ,18,46,-20.8,102
WBartonDEN ,MPlumleeDEN ,JGrantDEN ,MMorrisDEN ,MPorterDEN ,DEN ,14,46,-16,108
DGreenGSW ,AWigginsGSW ,MChrissGSW ,DLeeGSW ,JPooleGSW ,GSW ,3,45,8.8,101
DJordanBKN ,GTempleBKN ,IShumpertBKN ,DNwabaBKN ,TPinsonBKN ,BKN ,5,45,11.8,94
DJordanBKN ,KIrvingBKN ,JHarrisBKN ,CLeVertBKN ,TPrinceBKN ,BKN ,9,45,-20.5,100
JClarksonUTA ,EMudiayUTA ,GNiangUTA ,DMitchellUTA ,TBradleyUTA ,UTA ,11,45,6.9,105
JHolidayNOP ,DFavorsNOP ,BIngramNOP ,LBallNOP ,JHartNOP ,NOP ,20,45,16.5,98
JTeagueMIN ,RCovingtonMIN ,AWigginsMIN ,KTownsMIN ,JOkogieMIN ,MIN ,10,45,15,101
MMorrisDET ,ADrummondDET ,LGallowayDET ,LKennardDET ,BBrownDET ,DET ,10,45,-5.4,93
PTuckerHOU ,RWestbrookHOU ,EGordonHOU ,JHardenHOU ,RCovingtonHOU ,HOU ,6,45,7.1,101
TYoungCHI ,TSatoranskyCHI ,ZLaVineCHI ,CWhiteCHI ,DGaffordCHI ,CHI ,17,45,3.9,105
WChandlerBKN ,DJordanBKN ,SDinwiddieBKN ,JHarrisBKN ,CLeVertBKN ,BKN ,8,45,5.9,92
CZellerCHA ,TRozierCHA ,MMonkCHA ,MBridgesCHA ,PWashingtonCHA ,CHA ,19,44,-16.5,96
DDeRozanSAS ,TLylesSAS ,DMurraySAS ,BForbesSAS ,DEubanksSAS ,SAS ,4,44,0,94
EFournierORL ,KBirchORL ,MFultzORL ,JIsaacORL ,WIwunduORL ,ORL ,5,44,17.6,93
HWhitesidePOR ,DLillardPOR ,KBazemorePOR ,CMcCollumPOR ,MHezonjaPOR ,POR ,9,44,30.7,91
JButlerMIA ,KOlynykMIA ,BAdebayoMIA ,DRobinsonMIA ,KNunnMIA ,MIA ,14,44,-18.6,98
LWilliamsLAC ,PBeverleyLAC ,KLeonardLAC ,JGreenLAC ,MHarrellLAC ,LAC ,13,44,47.6,90
MMorrisNYK ,EPaytonNYK ,JRandleNYK ,BPortisNYK ,RBarrettNYK ,NYK ,10,44,29.2,96
MMorrisNYK ,RBullockNYK ,EPaytonNYK ,JRandleNYK ,MRobinsonNYK ,NYK ,9,44,-3,100
WBartonDEN ,GHarrisDEN ,JGrantDEN ,NJokicDEN ,TCraigDEN ,DEN ,7,44,-2.9,89
WEllingtonNYK ,BPortisNYK ,FNtilikinaNYK ,KKnoxNYK ,MRobinsonNYK ,NYK ,7,44,-8.7,93
ABurksGSW ,DGreenGSW ,GRobinsonIGSW ,MChrissGSW ,DLeeGSW ,GSW ,6,43,-27.4,90
CPaulOKC ,DSchroderOKC ,MMuscalaOKC ,HDialloOKC ,DBazleyOKC ,OKC ,15,43,18.8,96
GDragicMIA ,JButlerMIA ,MLeonardMIA ,BAdebayoMIA ,KNunnMIA ,MIA ,22,43,-18.8,96
GRobinsonIGSW ,WCauley-SteinGSW ,KBowmanGSW ,EPaschallGSW ,JPooleGSW ,GSW ,6,43,10.3,86
JButlerMIA ,DJonesMIA ,BAdebayoMIA ,KNunnMIA ,THerroMIA ,MIA ,11,43,-1.3,89
JLambIND ,VOladipoIND ,MTurnerIND ,DSabonisIND ,MBrogdonIND ,IND ,4,43,-31.8,88
LAldridgeSAS ,RGaySAS ,DDeRozanSAS ,PMillsSAS ,BForbesSAS ,SAS ,15,43,-7.2,96
LJamesLAL ,DGreenLAL ,ADavisLAL ,KCaldwell-PopeLAL ,KKuzmaLAL ,LAL ,23,43,23.3,95
TArizaSAC ,CJosephSAC ,HBarnesSAC ,BBogdanovicSAC ,RHolmesSAC ,SAC ,15,43,-14.4,88
TArizaSAC ,CJosephSAC ,HBarnesSAC ,RHolmesSAC ,BHieldSAC ,SAC ,13,43,-15.7,94
TRossORL ,EFournierORL ,MCarter-WilliamsORL ,MBambaORL ,GClarkORL ,ORL ,8,43,33.4,84
TThompsonCLE ,MDellavedovaCLE ,JClarksonCLE ,LNanceCLE ,KPorterCLE ,CLE ,18,43,4.6,95
CPaulOKC ,DSchroderOKC ,SAdamsOKC ,HDialloOKC ,DBazleyOKC ,OKC ,12,42,9,91
JLambIND ,JHolidayIND ,TWarrenIND ,MTurnerIND ,AHolidayIND ,IND ,18,42,17,88
NBjelicaSAC ,HBarnesSAC ,BHieldSAC ,DFoxSAC ,HGilesISAC ,SAC ,11,42,5.4,94
PTuckerHOU ,JHardenHOU ,ARiversHOU ,BMcLemoreHOU ,DHouseHOU ,HOU ,17,42,33.4,92
TYoungCHI ,TSatoranskyCHI ,ZLaVineCHI ,KDunnCHI ,LMarkkanenCHI ,CHI ,14,42,-14.8,95
WChandlerBKN ,DJordanBKN ,GTempleBKN ,SDinwiddieBKN ,CLeVertBKN ,BKN ,7,42,5.5,91
AWigginsGSW ,MChrissGSW ,DLeeGSW ,MMulderGSW ,EPaschallGSW ,GSW ,6,41,16,89
DAugustinORL ,TRossORL ,MCarter-WilliamsORL ,JEnnisIORL ,MBambaORL ,ORL ,9,41,24.6,88
DDeRozanSAS ,TLylesSAS ,DMurraySAS ,JPoeltlSAS ,BForbesSAS ,SAS ,21,41,22.7,94
JHensonCLE ,MDellavedovaCLE ,JClarksonCLE ,LNanceCLE ,KPorterCLE ,CLE ,11,41,-3.2,82
JHolidayIND ,TWarrenIND ,MTurnerIND ,MBrogdonIND ,AHolidayIND ,IND ,17,41,8.7,92
LJamesLAL ,DGreenLAL ,ABradleyLAL ,ADavisLAL ,ACarusoLAL ,LAL ,12,41,20.1,90
LJamesLAL ,DHowardLAL ,DGreenLAL ,ADavisLAL ,KCaldwell-PopeLAL ,LAL ,22,41,13,92
LWilliamsLAC ,KLeonardLAC ,JGreenLAC ,RMcGruderLAC ,MHarrellLAC ,LAC ,14,41,4.8,89
MScottPHI ,RNetoPHI ,JEmbiidPHI ,JRichardsonPHI ,FKorkmazPHI ,PHI ,9,41,4.4,88
RRubioPHX ,ABaynesPHX ,KOubrePHX ,DBookerPHX ,DAytonPHX ,PHX ,4,41,10.8,90
ADrummondDET ,TSnellDET ,BBrownDET ,SMykhailiukDET ,SDoumbouyaDET ,DET ,6,40,-19.7,84
AHorfordPHI ,THarrisPHI ,BSimmonsPHI ,SMiltonPHI ,MThybullePHI ,PHI ,11,40,17,88
ALenATL ,JParkerATL ,DBembryATL ,TYoungATL ,DHunterATL ,ATL ,11,40,18.9,85
BKnightDET ,JHensonDET ,TSnellDET ,CWoodDET ,SMykhailiukDET ,DET ,4,40,-14.3,83
BLopezMIL ,EBledsoeMIL ,KMiddletonMIL ,GAntetokounmpoMIL ,DDiVincenzoMIL ,MIL ,18,40,22,91
DAugustinORL ,NVucevicORL ,TRossORL ,MCarter-WilliamsORL ,AGordonORL ,ORL ,12,40,39.4,93
JGreenUTA ,JInglesUTA ,EMudiayUTA ,DMitchellUTA ,TBradleyUTA ,UTA ,5,40,4.4,92
JValanciunasMEM ,JCrowderMEM ,SHillMEM ,DBrooksMEM ,JMorantMEM ,MEM ,18,40,-21.4,87
KKorverMIL ,EIlyasovaMIL ,RLopezMIL ,GHillMIL ,PConnaughtonMIL ,MIL ,14,40,12.7,93
LJamesLAL ,ABradleyLAL ,ADavisLAL ,KCaldwell-PopeLAL ,KKuzmaLAL ,LAL ,20,40,12.2,90
MConleyUTA ,JGreenUTA ,BBogdanovicUTA ,RGobertUTA ,RO'NealeUTA ,UTA ,13,40,-31.3,88
MDellavedovaCLE ,JClarksonCLE ,LNanceCLE ,AMcKinnieCLE ,KPorterCLE ,CLE ,4,40,-0.6,84
NNoelOKC ,DSchroderOKC ,ANaderOKC ,SGilgeous-AlexanderOKC ,DBazleyOKC ,OKC ,18,40,-0.1,85
RGaySAS ,DDeRozanSAS ,JPoeltlSAS ,BForbesSAS ,DWhiteSAS ,SAS ,11,40,-20.3,80
EKanterBOS ,KWalkerBOS ,MSmartBOS ,JBrownBOS ,JTatumBOS ,BOS ,10,39,15.4,83
EMooreNOP ,BIngramNOP ,LBallNOP ,JHartNOP ,JHayesNOP ,NOP ,11,39,-7,87
GDragicMIA ,JButlerMIA ,DJonesMIA ,BAdebayoMIA ,THerroMIA ,MIA ,10,39,-2.8,77
JCrowderMEM ,TJonesMEM ,JJacksonMEM ,DMeltonMEM ,BClarkeMEM ,MEM ,16,39,11.7,87
KLowryTOR ,RHollis-JeffersonTOR ,NPowellTOR ,PSiakamTOR ,OAnunobyTOR ,TOR ,4,39,6.7,78
MWilliamsCHA ,NBatumCHA ,BBiyomboCHA ,MMonkCHA ,DGrahamCHA ,CHA ,8,39,31.7,83
RRubioPHX ,DSaricPHX ,KOubrePHX ,DBookerPHX ,MBridgesPHX ,PHX ,14,39,16.3,91
SIbakaTOR ,PSiakamTOR ,FVanVleetTOR ,OAnunobyTOR ,TDavisTOR ,TOR ,7,39,17.6,84
TYoungCHI ,RArcidiaconoCHI ,LKornetCHI ,CHutchisonCHI ,CWhiteCHI ,CHI ,9,39,-2.4,87
ALenATL ,JCollinsATL ,TYoungATL ,CReddishATL ,DHunterATL ,ATL ,7,38,24.1,80
DGreenGSW ,GRobinsonIGSW ,DRussellGSW ,WCauley-SteinGSW ,JPooleGSW ,GSW ,4,38,-34.1,79
EIlyasovaMIL ,RLopezMIL ,GHillMIL ,PConnaughtonMIL ,SBrownMIL ,MIL ,9,38,-3.9,76
JValanciunasMEM ,KAndersonMEM ,JJacksonMEM ,DBrooksMEM ,JMorantMEM ,MEM ,8,38,11,85
LAldridgeSAS ,RGaySAS ,DDeRozanSAS ,DMurraySAS ,BForbesSAS ,SAS ,23,38,-11.9,84
LAldridgeSAS ,RGaySAS ,DDeRozanSAS ,PMillsSAS ,DMurraySAS ,SAS ,16,38,-7,87
MLeonardMIA ,JWinslowMIA ,BAdebayoMIA ,KNunnMIA ,THerroMIA ,MIA ,4,38,5.9,86
MMorrisDET ,ADrummondDET ,TSnellDET ,TFrazierDET ,LKennardDET ,DET ,5,38,-34.3,77
RGaySAS ,DDeRozanSAS ,TLylesSAS ,DMurraySAS ,BForbesSAS ,SAS ,6,38,-38.5,80
TRossORL ,EFournierORL ,KBirchORL ,MFultzORL ,JIsaacORL ,ORL ,10,38,-10.6,84
BBealWAS ,SNapierWAS ,TBryantWAS ,JRobinsonWAS ,RHachimuraWAS ,WAS ,3,37,52.4,82
BBogdanovicUTA ,RGobertUTA ,EMudiayUTA ,RO'NealeUTA ,DMitchellUTA ,UTA ,15,37,-12.4,81
CZellerCHA ,TRozierCHA ,MMonkCHA ,MBridgesCHA ,DGrahamCHA ,CHA ,12,37,-9.4,73
DRoseDET ,JHensonDET ,TSnellDET ,CWoodDET ,SMykhailiukDET ,DET ,4,37,33.8,75
EIlyasovaMIL ,BLopezMIL ,WMatthewsMIL ,KMiddletonMIL ,DDiVincenzoMIL ,MIL ,11,37,27.2,88
GRobinsonIGSW ,DRussellGSW ,WCauley-SteinGSW ,EPaschallGSW ,JPooleGSW ,GSW ,5,37,2.4,83
JButlerMIA ,KOlynykMIA ,BAdebayoMIA ,KNunnMIA ,THerroMIA ,MIA ,17,37,-0.1,82
JLambIND ,DMcDermottIND ,TWarrenIND ,DSabonisIND ,MBrogdonIND ,IND ,20,37,-33.7,79
KLoveCLE ,MDellavedovaCLE ,LNanceCLE ,COsmanCLE ,CSextonCLE ,CLE ,11,37,13.5,81
KLowryTOR ,SIbakaTOR ,PMcCawTOR ,OAnunobyTOR ,TDavisTOR ,TOR ,6,37,32.3,73
LAldridgeSAS ,DDeRozanSAS ,DMurraySAS ,JPoeltlSAS ,BForbesSAS ,SAS ,17,37,-3,79
MConleyUTA ,BBogdanovicUTA ,RGobertUTA ,JClarksonUTA ,RO'NealeUTA ,UTA ,11,37,26.5,81
MWilliamsCHA ,CZellerCHA ,MMonkCHA ,DBaconCHA ,DGrahamCHA ,CHA ,13,37,18,76
MWilliamsCHA ,CZellerCHA ,TRozierCHA ,MBridgesCHA ,DGrahamCHA ,CHA ,13,37,-47.8,76
SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,TLuwawu-CabarrotBKN ,JAllenBKN ,BKN ,16,37,-11.6,80
TYoungCHI ,KDunnCHI ,RArcidiaconoCHI ,CWhiteCHI ,DGaffordCHI ,CHI ,9,37,-22.8,83
VCarterATL ,JCollinsATL ,KHuerterATL ,TYoungATL ,DHunterATL ,ATL ,15,37,-3.8,86
ABurksGSW ,DRussellGSW ,WCauley-SteinGSW ,DLeeGSW ,EPaschallGSW ,GSW ,4,36,-6.6,76
CAnthonyPOR ,KBazemorePOR ,CMcCollumPOR ,SLabissierePOR ,ASimonsPOR ,POR ,8,36,11,80
CAnthonyPOR ,TArizaPOR ,HWhitesidePOR ,DLillardPOR ,GTrentPOR ,POR ,6,36,31.1,76
CMilesWAS ,ISmithWAS ,DBertansWAS ,BBealWAS ,MWagnerWAS ,WAS ,8,36,6.5,81
CPaulOKC ,DGallinariOKC ,NNoelOKC ,DSchroderOKC ,TFergusonOKC ,OKC ,18,36,-27.7,74
CPaulOKC ,DSchroderOKC ,SAdamsOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,OKC ,11,36,43.6,82
DAugustinORL ,TRossORL ,MCarter-WilliamsORL ,JIsaacORL ,MBambaORL ,ORL ,9,36,27.4,78
DRoseDET ,BGriffinDET ,ADrummondDET ,LGallowayDET ,LKennardDET ,DET ,12,36,22.4,75
DRoseDET ,BGriffinDET ,ADrummondDET ,TSnellDET ,LKennardDET ,DET ,9,36,-40.6,81
EPaytonNYK ,BPortisNYK ,DDotsonNYK ,KKnoxNYK ,MRobinsonNYK ,NYK ,12,36,-13.3,78
ISmithWAS ,DBertansWAS ,JMcRaeWAS ,TBryantWAS ,TBrownWAS ,WAS ,5,36,-19.8,81
JButlerMIA ,DJonesMIA ,BAdebayoMIA ,DRobinsonMIA ,THerroMIA ,MIA ,11,36,25,72
JGreenUTA ,EDavisUTA ,EMudiayUTA ,GNiangUTA ,DMitchellUTA ,UTA ,7,36,-26.1,75
JHolidayIND ,TWarrenIND ,TMcConnellIND ,MTurnerIND ,AHolidayIND ,IND ,20,36,-3.7,77
KKorverMIL ,BLopezMIL ,EBledsoeMIL ,KMiddletonMIL ,GAntetokounmpoMIL ,MIL ,13,36,8.4,86
LAldridgeSAS ,MBelinelliSAS ,DDeRozanSAS ,PMillsSAS ,DWhiteSAS ,SAS ,13,36,15,78
LWilliamsLAC ,PBeverleyLAC ,KLeonardLAC ,MHarrellLAC ,LShametLAC ,LAC ,15,36,41.1,82
LWilliamsLAC ,PGeorgeLAC ,JGreenLAC ,MHarrellLAC ,LShametLAC ,LAC ,14,36,16.3,86
MGasolTOR ,RHollis-JeffersonTOR ,NPowellTOR ,PSiakamTOR ,FVanVleetTOR ,TOR ,9,36,-2.6,77
NBjelicaSAC ,CJosephSAC ,KBazemoreSAC ,ALenSAC ,BHieldSAC ,SAC ,7,36,17.1,77
NVucevicORL ,JEnnisIORL ,AGordonORL ,MFultzORL ,WIwunduORL ,ORL ,3,36,27.6,77
RRubioPHX ,ABaynesPHX ,KOubrePHX ,MBridgesPHX ,CJohnsonPHX ,PHX ,10,36,-8.8,75
TArizaSAC ,HBarnesSAC ,RHolmesSAC ,BHieldSAC ,DFoxSAC ,SAC ,8,36,22.3,80
TWarrenIND ,MTurnerIND ,DSabonisIND ,MBrogdonIND ,ESumnerIND ,IND ,3,36,-9.3,73
TYoungCHI ,ZLaVineCHI ,KDunnCHI ,LMarkkanenCHI ,CWhiteCHI ,CHI ,15,36,0.1,83
ABurksGSW ,DGreenGSW ,GRobinsonIGSW ,DRussellGSW ,WCauley-SteinGSW ,GSW ,10,35,9.7,73
AHorfordPHI ,THarrisPHI ,MScottPHI ,SMiltonPHI ,MThybullePHI ,PHI ,5,35,25.5,67
CAnthonyPOR ,HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,ASimonsPOR ,POR ,9,35,-17.1,71
CAnthonyPOR ,HWhitesidePOR ,DLillardPOR ,KBazemorePOR ,ASimonsPOR ,POR ,10,35,14.9,75
CPaulOKC ,DGallinariOKC ,DSchroderOKC ,MMuscalaOKC ,SGilgeous-AlexanderOKC ,OKC ,14,35,61.2,83
DAugustinORL ,NVucevicORL ,EFournierORL ,MFultzORL ,JIsaacORL ,ORL ,9,35,11.7,78
GDragicMIA ,KOlynykMIA ,DRobinsonMIA ,THerroMIA ,CSilvaMIA ,MIA ,6,35,-13.2,76
GHaywardBOS ,EKanterBOS ,KWalkerBOS ,JBrownBOS ,JTatumBOS ,BOS ,7,35,6.3,76
MPlumleeDEN ,GHarrisDEN ,JGrantDEN ,MMorrisDEN ,MPorterDEN ,DEN ,16,35,2.9,73
PMillsapDEN ,WBartonDEN ,NJokicDEN ,JMurrayDEN ,TCraigDEN ,DEN ,8,35,31.8,67
PTuckerHOU ,RWestbrookHOU ,EGordonHOU ,ARiversHOU ,DHouseHOU ,HOU ,11,35,27,84
RRondoLAL ,JMcGeeLAL ,DGreenLAL ,ABradleyLAL ,ADavisLAL ,LAL ,6,35,-0.6,72
WEllingtonNYK ,BPortisNYK ,DSmithNYK ,DDotsonNYK ,MRobinsonNYK ,NYK ,7,35,-5.5,72
BLopezMIL ,GHillMIL ,WMatthewsMIL ,KMiddletonMIL ,GAntetokounmpoMIL ,MIL ,19,34,-12,78
DAugustinORL ,AAminuORL ,TRossORL ,AGordonORL ,MBambaORL ,ORL ,8,34,-8.3,73
DFavorsNOP ,EMooreNOP ,BIngramNOP ,LBallNOP ,JHartNOP ,NOP ,17,34,8.4,74
DRoseDET ,MMorrisDET ,ADrummondDET ,LGallowayDET ,LKennardDET ,DET ,10,34,15,79
ISmithWAS ,DBertansWAS ,JMcRaeWAS ,APasecniksWAS ,TBrownWAS ,WAS ,6,34,-7.6,78
JGreenUTA ,EDavisUTA ,JInglesUTA ,EMudiayUTA ,DMitchellUTA ,UTA ,7,34,40.8,72
JLambIND ,JHolidayIND ,TWarrenIND ,DSabonisIND ,MBrogdonIND ,IND ,12,34,18.9,77
JTeagueMIN ,GDiengMIN ,RCovingtonMIN ,AWigginsMIN ,TGrahamMIN ,MIN ,5,34,-12.9,70
KLowryTOR ,SIbakaTOR ,PMcCawTOR ,PSiakamTOR ,OAnunobyTOR ,TOR ,6,34,15.7,69
KOlynykMIA ,DJonesMIA ,BAdebayoMIA ,KNunnMIA ,THerroMIA ,MIA ,5,34,7.7,70
LAldridgeSAS ,DDeRozanSAS ,JPoeltlSAS ,BForbesSAS ,DWhiteSAS ,SAS ,9,34,-8.9,71
LWilliamsLAC ,MMorrisLAC ,KLeonardLAC ,MHarrellLAC ,LShametLAC ,LAC ,7,34,-18.7,74
NBatumCHA ,BBiyomboCHA ,TRozierCHA ,MBridgesCHA ,DGrahamCHA ,CHA ,6,34,-7.7,66
RRubioPHX ,DBookerPHX ,MBridgesPHX ,DAytonPHX ,CJohnsonPHX ,PHX ,11,34,20.2,75
RWestbrookHOU ,ARiversHOU ,BMcLemoreHOU ,CCapelaHOU ,DHouseHOU ,HOU ,9,34,32.9,80
SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,RKurucsBKN ,BKN ,4,34,38.9,71
THardawayDAL ,DPowellDAL ,DWrightDAL ,JJacksonDAL ,JBrunsonDAL ,DAL ,7,34,15.6,71
WChandlerBKN ,SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,BKN ,15,34,-38.1,77
BBogdanovicUTA ,RGobertUTA ,JClarksonUTA ,JInglesUTA ,DMitchellUTA ,UTA ,21,33,18.8,72
CPaulOKC ,DSchroderOKC ,SAdamsOKC ,ANaderOKC ,HDialloOKC ,OKC ,6,33,31.9,70
GHarrisDEN ,JGrantDEN ,NJokicDEN ,JMurrayDEN ,MMorrisDEN ,DEN ,15,33,0.9,73
GHarrisDEN ,JGrantDEN ,NJokicDEN ,MBeasleyDEN ,JMurrayDEN ,DEN ,8,33,-20.5,68
ISmithWAS ,DBertansWAS ,BBealWAS ,TBrownWAS ,RHachimuraWAS ,WAS ,13,33,-18.4,86
JCrowderMEM ,JJacksonMEM ,DMeltonMEM ,JMorantMEM ,BClarkeMEM ,MEM ,13,33,5.6,81
KLoveCLE ,TThompsonCLE ,DExumCLE ,COsmanCLE ,CSextonCLE ,CLE ,8,33,-33,66
