lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,PMillsap,WBarton,GHarris,NJokic,JMurray,DEN,38,735,7.7,98.0,2020
2,KLove,TThompson,COsman,CSexton,DGarland,CLE,44,679,-8.6,101.2,2020
3,BBogdanovic,RGobert,JIngles,RO'Neale,DMitchell,UTA,50,570,13.7,100.46,2020
4,LAldridge,DDeRozan,TLyles,DMurray,BForbes,SAS,40,505,0.0,99.66,2020
5,GTemple,SDinwiddie,JHarris,TPrince,JAllen,BKN,44,491,-0.1,100.84,2020
6,JButler,MLeonard,BAdebayo,DRobinson,KNunn,MIA,39,488,13.4,96.31,2020
7,JValanciunas,JCrowder,DBrooks,JJacksonJr,JMorant,MEM,36,413,6.3,102.32,2020
8,BLopez,WMatthews,EBledsoe,KMiddleton,GAntetokounmpo,MIL,37,408,19.1,110.12,2020
9,LJames,JMcGee,DGreen,ABradley,ADavis,LAL,33,389,12.6,102.33,2020
10,MConley,BBogdanovic,RGobert,RO'Neale,DMitchell,UTA,35,381,9.7,99.85,2020
11,PTucker,RWestbrook,JHarden,CCapela,DHouseJr,HOU,29,356,7.6,106.05,2020
12,JLamb,TWarren,MTurner,DSabonis,MBrogdon,IND,25,355,8.2,97.17,2020
13,CPaul,DGallinari,SAdams,TFerguson,SGilgeous-Alexander,OKC,31,328,-3.5,98.23,2020
14,TSatoransky,ZLaVine,KDunn,LMarkkanen,WCarterJr,CHI,22,317,8.1,99.42,2020
15,CAnthony,HWhiteside,DLillard,KBazemore,CMcCollum,POR,20,316,3.0,99.32,2020
16,CZeller,TRozier,MBridges,DGraham,PWashington,CHA,42,284,0.3,96.58,2020
17,KLowry,MGasol,PSiakam,FVanVleet,OAnunoby,TOR,17,280,11.7,102.78,2020
18,BBiyombo,TRozier,MBridges,DGraham,PWashington,CHA,26,263,-6.2,96.94,2020
19,NBjelica,CJoseph,HBarnes,RHolmes,BHield,SAC,23,262,2.6,97.14,2020
20,LJames,JMcGee,DGreen,ADavis,KCaldwell-Pope,LAL,22,253,3.4,102.82,2020
21,RRubio,ABaynes,DSaric,KOubreJr,DBooker,PHX,20,245,6.4,103.93,2020
22,AHorford,THarris,JEmbiid,JRichardson,BSimmons,PHI,22,244,8.5,101.65,2020
23,TGibson,MMorrisSr,JRandle,FNtilikina,RBarrett,NYK,22,241,-6.7,97.29,2020
24,NVucevic,EFournier,AGordon,MFultz,JIsaac,ORL,19,240,1.9,101.5,2020
25,JHoliday,DMcDermott,TMcConnell,DSabonis,AHoliday,IND,32,237,7.2,103.13,2020
26,MConley,BBogdanovic,RGobert,JIngles,DMitchell,UTA,33,236,-8.1,101.82,2020
27,NVucevic,TRoss,EFournier,AGordon,MFultz,ORL,38,233,0.2,104.12,2020
28,CAnthony,TAriza,HWhiteside,DLillard,CMcCollum,POR,12,230,5.6,101.71,2020
29,JHoliday,DFavors,BIngram,LBall,ZWilliamson,NOP,17,230,26.3,108.23,2020
30,RRubio,KOubreJr,DBooker,MBridges,DAyton,PHX,21,226,20.2,103.85,2020
31,PBeverley,PGeorge,KLeonard,MHarkless,IZubac,LAC,18,215,9.3,102.77,2020
32,SDinwiddie,JHarris,CLeVert,TPrince,JAllen,BKN,24,208,11.6,99.79,2020
33,JCollins,KHuerter,TYoung,CReddish,DHunter,ATL,23,205,6.1,109.15,2020
34,THardawayJr,DPowell,KPorzingis,DFinney-Smith,LDoncic,DAL,19,205,11.0,100.92,2020
35,KLowry,SIbaka,PSiakam,FVanVleet,OAnunoby,TOR,20,197,-5.5,101.9,2020
36,WBarton,GHarris,JGrant,NJokic,JMurray,DEN,37,197,-3.5,97.69,2020
37,MGasol,NPowell,PSiakam,FVanVleet,OAnunoby,TOR,18,192,16.1,98.08,2020
38,GHayward,KWalker,JBrown,JTatum,DTheis,BOS,17,188,12.5,101.12,2020
39,IThomas,BBeal,TBryant,TBrownJr,RHachimura,WAS,15,180,-17.2,105.6,2020
40,CPaul,DGallinari,DSchroder,SAdams,SGilgeous-Alexander,OKC,41,177,29.9,109.42,2020
