lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,DWest,RHibbert,GHill,PGeorge,LStephenson,IND,73,1468,9.3,92.7,2014
2,LAldridge,RLopez,NBatum,WMatthews,DLillard,POR,69,1373,7.4,96.45,2014
3,KMartin,CBrewer,KLove,NPekovic,RRubio,MIN,51,1052,12.3,101.65,2014
4,DNowitzki,SMarion,SDalembert,MEllis,JCalderon,DAL,70,845,0.5,95.62,2014
5,AIguodala,ABogut,DLee,SCurry,KThompson,GSW,44,819,15.5,98.84,2014
6,AJohnson,KLowry,DDeRozan,JValanciunas,TRoss,TOR,58,717,3.6,93.33,2014
7,TAriza,MGortat,JWall,TBooker,BBeal,WAS,50,691,1.8,94.59,2014
8,MDunleavy,CBoozer,KHinrich,JNoah,JButler,CHI,46,681,6.6,91.33,2014
9,DHoward,JHarden,PBeverley,CParsons,TJones,HOU,35,620,5.9,95.38,2014
10,SHawes,TYoung,ETurner,JAnderson,MCarter-Williams,PHI,37,612,-11.3,101.59,2014
11,RJefferson,MWilliams,DFavors,GHayward,TBurke,UTA,47,603,-1.2,92.76,2014
12,ZRandolph,TPrince,MConley,MGasol,CLee,MEM,35,592,8.2,88.69,2014
13,KPerkins,TSefolosha,KDurant,SIbaka,RJackson,OKC,33,550,6.2,95.87,2014
14,AJefferson,JMcRoberts,GHenderson,KWalker,MKidd-Gilchrist,CHA,35,526,11.6,90.25,2014
15,CFrye,GGreen,PTucker,GDragic,MPlumlee,PHX,46,526,0.9,97.03,2014
16,JSmith,BJennings,GMonroe,ADrummond,KCaldwell-Pope,DET,39,496,-4.4,98.07,2014
17,RFoye,WChandler,JHickson,TLawson,KFaried,DEN,41,490,2.9,101.18,2014
18,Nene,TAriza,MGortat,JWall,BBeal,WAS,42,487,10.7,98.64,2014
19,JSmith,BJennings,GMonroe,KSingler,ADrummond,DET,44,461,-9.5,95.74,2014
20,CFrye,PTucker,GDragic,EBledsoe,MPlumlee,PHX,36,436,14.2,95.65,2014
21,SBattier,LJames,CBosh,DWade,MChalmers,MIA,35,430,6.4,96.52,2014
22,KKorver,PMillsap,AHorford,JTeague,DCarroll,ATL,24,392,-0.5,97.91,2014
23,BBass,JGreen,ABradley,JCrawford,JSullinger,BOS,28,373,-5.3,96.63,2014
24,KPerkins,TSefolosha,KDurant,RWestbrook,SIbaka,OKC,24,349,-3.2,97.91,2014
25,DHoward,JHarden,JLin,CParsons,TJones,HOU,35,328,4.8,100.54,2014
26,MBarnes,CPaul,DJordan,BGriffin,DCollison,LAC,28,326,14.8,96.61,2014
27,RGay,JThompson,DCousins,IThomas,BMcLemore,SAC,30,317,-4.6,97.75,2014
28,ABogut,DLee,SCurry,KThompson,HBarnes,GSW,42,316,-6.4,101.95,2014
29,TYoung,JAnderson,HThompson,HSims,MCarter-Williams,PHI,22,310,-8.5,96.29,2014
30,KKorver,PMillsap,JTeague,DCarroll,PAntic,ATL,24,298,5.1,95.06,2014
31,CPaul,JRedick,JDudley,DJordan,BGriffin,LAC,16,291,8.4,96.82,2014
32,TChandler,AStoudemire,CAnthony,JSmith,RFelton,NYK,26,286,1.2,89.5,2014
33,PPierce,JJohnson,SLivingston,DWilliams,MPlumlee,BKN,27,285,3.6,89.42,2014
34,JCrawford,CPaul,JDudley,DJordan,BGriffin,LAC,37,273,7.9,99.79,2014
35,JCrawford,MBarnes,CPaul,DJordan,BGriffin,LAC,28,271,18.8,100.6,2014
36,Nene,TAriza,MWebster,MGortat,JWall,WAS,41,265,9.8,99.81,2014
37,TDuncan,TParker,TSplitter,DGreen,KLeonard,SAS,30,262,13.7,96.26,2014
38,VCarter,SMarion,SDalembert,MEllis,JCalderon,DAL,68,258,-2.5,99.65,2014
39,JSmith,RStuckey,BJennings,GMonroe,KSingler,DET,57,249,-7.7,102.84,2014
40,AJohnson,RGay,KLowry,DDeRozan,JValanciunas,TOR,18,244,-9.1,90.95,2014
41,LDeng,JJack,SHawes,KIrving,TThompson,CLE,14,241,-0.2,94.07,2014
42,DNowitzki,SMarion,MEllis,JCalderon,DBlair,DAL,52,229,0.3,100.55,2014
43,RGay,JThompson,MThornton,DCousins,IThomas,SAC,19,229,11.5,94.63,2014
44,KHinrich,JNoah,DAugustin,TGibson,JButler,CHI,35,227,11.8,87.79,2014
45,KMartin,CBrewer,KLove,RRubio,GDieng,MIN,17,226,-1.1,97.95,2014
46,AJefferson,JMcRoberts,ATolliver,GHenderson,KWalker,CHA,26,220,-0.4,96.79,2014
47,DWright,RLopez,NBatum,WMatthews,DLillard,POR,18,213,4.3,97.38,2014
48,MDunleavy,JNoah,DAugustin,TGibson,JButler,CHI,37,212,11.8,90.61,2014
49,RJefferson,DFavors,GHayward,EKanter,TBurke,UTA,22,206,-14.6,92.38,2014
50,ZPachulia,EIlyasova,BKnight,KMiddleton,NWolters,MIL,15,206,-3.0,92.89,2014
51,TAriza,MWebster,MGortat,JWall,TBooker,WAS,50,202,10.2,98.32,2014
52,JNelson,AAfflalo,GDavis,THarris,VOladipo,ORL,18,201,-20.9,96.34,2014
53,JSmith,EGordon,JHoliday,AAminu,ADavis,NOP,16,201,2.3,95.6,2014
54,EBrand,KKorver,PMillsap,JTeague,DCarroll,ATL,36,200,9.7,97.22,2014
55,RAllen,SBattier,LJames,CBosh,MChalmers,MIA,47,196,12.4,96.56,2014
56,TChandler,CAnthony,JSmith,RFelton,THardawayJr,NYK,30,195,0.1,97.64,2014
57,PGasol,JMeeks,WJohnson,KMarshall,RKelly,LAL,15,193,-2.0,102.19,2014
58,TDuncan,MGinobili,TParker,BDiaw,KLeonard,SAS,43,193,5.9,98.47,2014
59,ZPachulia,RSessions,JAdrien,BKnight,KMiddleton,MIL,15,192,-12.7,93.81,2014
60,RFoye,WChandler,TLawson,TMozgov,KFaried,DEN,23,186,12.4,101.52,2014
61,LScola,DGranger,IMahinmi,CWatson,LStephenson,IND,27,185,1.6,98.76,2014
62,MDunleavy,CBoozer,DAugustin,TGibson,JButler,CHI,43,183,-7.6,100.62,2014
63,EGordon,AAjinca,AAminu,ADavis,BRoberts,NOP,24,182,-15.5,95.56,2014
64,MBarnes,JRedick,DJordan,BGriffin,DCollison,LAC,17,181,5.4,93.71,2014
65,VCarter,SMarion,MEllis,JCalderon,DBlair,DAL,61,181,-1.8,103.39,2014
66,ZRandolph,TPrince,TAllen,MConley,MGasol,MEM,16,181,6.3,92.76,2014
67,JNelson,AAfflalo,GDavis,NVucevic,THarris,ORL,15,177,-3.3,91.51,2014
68,JSmith,RStuckey,BJennings,GMonroe,ADrummond,DET,47,175,-7.7,96.65,2014
69,SHawes,TYoung,ETurner,HThompson,MCarter-Williams,PHI,22,171,-5.6,101.24,2014
70,JSmith,EGordon,RAnderson,JHoliday,AAminu,NOP,10,169,3.1,92.6,2014
71,SHawes,TYoung,ETurner,JAnderson,TWroten,PHI,22,167,-2.5,103.23,2014
72,ZRandolph,TPrince,MGasol,CLee,NCalathes,MEM,31,160,-3.4,89.96,2014
73,ZRandolph,TPrince,TAllen,MConley,KKoufos,MEM,16,158,-0.3,90.09,2014
74,PGasol,SBlake,JHill,JMeeks,WJohnson,LAL,11,152,-7.5,96.79,2014
75,RJefferson,MWilliams,GHayward,EKanter,TBurke,UTA,24,152,-12.1,93.32,2014
76,AHarrington,AMiller,DGooden,MWebster,BBeal,WAS,17,151,12.0,87.99,2014
77,MWilliams,DFavors,GHayward,ABurks,TBurke,UTA,36,151,3.9,97.36,2014
78,KMartin,CAnthony,RFelton,ABargnani,IShumpert,NYK,13,147,7.5,91.69,2014
79,KMartin,CBrewer,KLove,RRubio,DCunningham,MIN,42,146,3.9,110.12,2014
80,LDeng,AVarejao,CMiles,KIrving,TThompson,CLE,10,146,5.7,94.57,2014
81,JNoah,DAugustin,TGibson,JButler,TSnell,CHI,36,145,-6.9,91.66,2014
82,CFrye,GGreen,PTucker,GDragic,MMorris,PHX,41,144,1.0,102.55,2014
83,AJefferson,JMcRoberts,RSessions,GHenderson,MKidd-Gilchrist,CHA,21,143,-0.4,96.17,2014
84,MDunleavy,CBoozer,JNoah,DAugustin,JButler,CHI,37,143,10.5,94.25,2014
85,AJefferson,JMcRoberts,CDouglas-Roberts,GHenderson,KWalker,CHA,16,142,-4.0,94.04,2014
86,Nene,MWebster,MGortat,JWall,BBeal,WAS,22,142,12.2,93.74,2014
87,TChandler,CAnthony,JSmith,RFelton,IShumpert,NYK,28,142,7.0,96.32,2014
88,AVarejao,JJack,KIrving,TThompson,DWaiters,CLE,28,141,0.1,93.84,2014
89,JNelson,AAfflalo,GDavis,NVucevic,VOladipo,ORL,16,141,0.3,99.47,2014
90,KMartin,RTuriaf,CBrewer,KLove,RRubio,MIN,17,141,-3.0,100.48,2014
91,AJefferson,GHenderson,KWalker,MKidd-Gilchrist,CZeller,CHA,31,140,1.5,98.01,2014
92,ABynum,CMiles,AGee,KIrving,TThompson,CLE,11,138,2.5,98.71,2014
93,JCrawford,JDudley,DJordan,BGriffin,DCollison,LAC,34,138,10.0,93.13,2014
94,JNelson,JMaxiell,AAfflalo,NVucevic,MHarkless,ORL,10,138,-6.0,96.32,2014
95,OMayo,EUdoh,BKnight,JHenson,KMiddleton,MIL,14,137,-22.0,89.92,2014
96,PGasol,JMeeks,WJohnson,KMarshall,KBazemore,LAL,10,136,-11.8,105.05,2014
97,JMcRoberts,GHenderson,BBiyombo,KWalker,MKidd-Gilchrist,CHA,13,135,-3.8,89.09,2014
98,EGordon,GStiemsma,AAminu,ADavis,BRoberts,NOP,22,134,-0.7,93.52,2014
99,TChandler,CAnthony,RFelton,IShumpert,PPrigioni,NYK,16,134,15.8,90.71,2014
