cluster,Player,Pos,player_code,Season,G,GS,MP,Height,PER,ORBrate,DRBrate,ASTrate,STLrate,BLKrate,TOVrate,PTS,USGrate,FTr,FT_perc,FGA,FGperc2P,FGperc3P,2PTperc_Assisted,FGAperc3P,CornerPerc3PA,3PTperc_Assisted,DunkspercFGA,FGAperc0to3,FGAperc3to10,FGAperc10to16,FGAperc16to3P,poss,mp,raptor_total,war_reg_season,predator_total,pace_impact
Rim-Running Athletic Bigs,Steven Adams,C,adamsst01,2020,58,58,1564,83,20.8,14.4,23.8,13.5,1.6,3.5,14.1,19.7,17.2,0.413,0.59,13.8,0.593,0.333,0.67,0.007,0.333,1,0.181,0.53,0.388,0.072,0.002,3280,1564,2.215230650687405,3.94296941499536,1.946952689785165,-0.4903076963817831
Traditional Bigs,Bam Adebayo,C,adebaba01,2018,69,19,1368,81,15.7,9.7,21.6,11,1.2,2.5,13.6,17.5,15.9,0.526,0.721,12.5,0.523,0,0.701,0.021,0,0,0.294,0.624,0.232,0.082,0.041,2921,1445,-1.179915308,1.348868962,-2.257935143,-0.812342362
Rim-Running Athletic Bigs,Bam Adebayo,C,adebaba01,2019,82,28,1913,81,17.9,9.2,24,14.2,1.8,3,17.1,18.6,15.8,0.465,0.735,12.4,0.588,0.2,0.7,0.031,0.267,0.667,0.257,0.572,0.243,0.121,0.033,3965,1913,0.800701737,3.451223821,0.126069191,-0.420701969
Rim-Running Athletic Bigs,Bam Adebayo,PF,adebaba01,2020,65,65,2235,81,20.6,8.7,25,23.6,1.7,3.8,17.5,23.1,20.8,0.476,0.69,15.7,0.576,0.077,0.717,0.018,0.615,1,0.224,0.483,0.303,0.149,0.047,4573,2235,1.514861277740993,4.827047666687684,0.6876109543776533,-0.7582276882644622
Traditional Bigs,Jeff Adrien,PF,adrieje01,2013,52,5,713,79,13.4,10.6,21.2,8.3,1.3,3.1,13.1,15.4,15.6,0.595,0.65,12.4,0.434,0,0.639,0.012,0,0,0.065,0.363,0.208,0.143,0.274,1375,713,-2.634101605,0.042100378,-3.345600031,-0.133120893
Traditional Bigs,Jeff Adrien,PF,adrieje01,2014,25,0,256,79,14.9,14.5,24.4,4.1,1.4,4.6,13.6,11.6,10.6,0.625,0.52,8.1,0.55,0,0.545,0,0,0,0.075,0.825,0.075,0.1,0,1908,961,-1.939531535,0.391857954,-2.437177119,-0.370574985
Traditional Bigs,Jeff Adrien,PF,adrieje01,2014,28,12,705,79,18.4,10.9,25,7.7,1.3,2.4,10.1,22.6,19.7,0.4,0.67,17.4,0.515,0,0.661,0,0,0,0.115,0.515,0.247,0.098,0.14,1908,961,-1.939531535,0.391857954,-2.437177119,-0.370574985
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2008,75,9,970,77,10.2,4.4,12.5,8.1,1.8,0.7,10.9,15.6,15.2,0.361,0.782,13.7,0.461,0.208,0.652,0.199,0.458,0.8,0.008,0.332,0.054,0.129,0.286,1934,1054,-1.09821345,0.81472696,-2.186713895,0.150290668
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2009,74,8,1234,77,8.9,2.8,10.1,5.5,1.3,0.8,11.5,16.3,14.5,0.237,0.817,13.5,0.456,0.402,0.534,0.357,0.654,0.93,0.003,0.24,0.023,0.07,0.31,2371,1300,-1.791453074,0.561327275,-2.434332023,0.533564125
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2010,82,75,2221,77,10.9,3.1,9.9,9.3,1,1,10.5,16.5,14,0.168,0.735,13.3,0.488,0.434,0.543,0.426,0.562,0.972,0.012,0.258,0.056,0.079,0.181,4680,2341,-0.057648556,2.92122235,-0.346194243,0.082422221
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2011,69,69,2324,77,13.6,2.3,9.9,10.9,0.7,1,9.2,18.7,14.8,0.26,0.847,13.5,0.546,0.423,0.565,0.396,0.581,1,0.002,0.241,0.132,0.077,0.155,4851,2409,1.109169546,4.726502428,0.967920171,-0.489893727
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2012,62,62,2086,77,14.7,2.3,8.5,11.1,0.9,0.5,9.5,23,19.1,0.353,0.798,17.1,0.504,0.398,0.689,0.316,0.493,0.966,0.009,0.272,0.142,0.107,0.163,4577,2315,-0.079955196,2.977159222,0.08501343,-0.24085187
3PT Shooting Swingmen,Arron Afflalo,SF,afflaar01,2013,64,64,2307,77,13,1.4,10.3,14.6,0.9,0.4,12.1,23.9,22.5,0.246,0.857,20.4,0.489,0.3,0.486,0.265,0.304,0.958,0.006,0.175,0.128,0.202,0.23,4482,2307,-3.038894672,-0.339785596,-2.816819019,-0.069136008
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2014,73,73,2552,77,16,1.4,10.2,16.9,0.7,0.1,11.2,26.7,23.3,0.332,0.815,20.3,0.473,0.427,0.53,0.297,0.3,0.883,0.002,0.157,0.081,0.161,0.304,5047,2552,-1.79892812,1.231903915,-2.360454719,-0.49730894
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2015,53,53,1750,77,11.7,1.3,10.2,9.3,0.9,0.2,10.3,22,19.9,0.23,0.841,18.8,0.481,0.337,0.543,0.37,0.383,0.976,0,0.117,0.148,0.17,0.195,5125,2562,-2.659068591,0.519802548,-2.7625782230000002,-0.674047569
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2015,25,19,752,77,8.2,0.9,8.5,5.5,0.6,0.2,11.8,17.9,16.7,0.207,0.851,15.4,0.423,0.4,0.569,0.396,0.4,0.917,0,0.145,0.101,0.132,0.225,5125,2562,-2.659068591,0.519802548,-2.7625782230000002,-0.674047569
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2016,71,57,2371,77,10.9,1.1,11,9.9,0.5,0.3,8.7,19.7,17.9,0.164,0.84,17.3,0.469,0.382,0.49,0.298,0.424,0.912,0.003,0.115,0.178,0.193,0.217,4648,2371,-3.106749185,-0.424460423,-3.215674058,-1.606045594
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2017,61,45,1580,77,8.9,0.7,8.4,7.4,0.7,0.3,8.4,16.5,14.4,0.221,0.892,13.5,0.457,0.411,0.504,0.36,0.384,0.968,0.002,0.1,0.117,0.186,0.236,3146,1580,-6.00977503,-2.593034888,-6.084951782,-1.296124622
3PT Shooting Swingmen,Arron Afflalo,SG,afflaar01,2018,53,3,682,77,5.8,0.6,10.1,6.2,0.3,1.1,10.8,12.8,12.5,0.16,0.846,11.6,0.413,0.386,0.632,0.432,0.414,0.926,0,0.093,0.123,0.154,0.198,1389,682,-4.382990176,-0.562242617,-6.67453851,-1.041661365
Ball Dominant Playmakers,Maurice Ager,SG,agerma01,2007,32,1,214,77,2.9,0.6,11,5,1,1.1,15.1,17.3,21.7,0.471,0.606,17.5,0.309,0.333,0.235,0.214,0.2,0.4,0.057,0.357,0.043,0.071,0.314,451,238,-7.520997558,-0.632562468,-8.201399938,0.947613031
Ball Dominant Playmakers,Maurice Ager,SG,agerma01,2008,12,3,77,77,-4.4,1.6,4.4,7.4,0,1,9.2,10.4,19.8,0.222,0.833,18.7,0.263,0,0.8,0.296,0,0,0.074,0.296,0.074,0.111,0.222,316,165,-7.214732019,-0.383936537,-8.533280913,1.268861342
3PT Shooting Swingmen,Maurice Ager,SG,agerma01,2008,14,0,88,77,7.1,3.9,7.9,8.4,0,0,6.9,21.5,22.7,0.158,0.167,22.7,0.481,0.273,0.692,0.289,0.364,1,0.079,0.368,0.053,0,0.289,316,165,-7.214732019,-0.383936537,-8.533280913,1.268861342
Rim-Running Athletic Bigs,Alexis Ajinça,PF,ajincal01,2009,31,4,182,86,7,6.2,14.2,2.8,2.1,2.7,12.9,20.9,24.2,0.406,0.714,20.6,0.373,0,0.72,0.029,0,0,0.058,0.174,0.159,0.159,0.478,339,182,-5.195091989,-0.230726585,-5.176196706,1.505878183
Rim-Running Athletic Bigs,Alexis Ajinça,C,ajincal01,2011,10,2,75,86,12.8,8.1,18,4.3,2.1,5.1,2.9,20.3,21.4,0.094,0.667,22.4,0.36,0.429,0.556,0.219,0.286,1,0.031,0.125,0.125,0.219,0.313,663,340,-3.395328563,-0.114143095,-2.21000557,2.571905675
Rim-Running Athletic Bigs,Alexis Ajinça,C,ajincal01,2011,24,0,265,86,12,5.2,22.5,4.9,1.6,4,13.6,22.2,21.1,0.149,0.733,19.7,0.514,0.333,0.684,0.267,0,1,0.109,0.267,0.05,0.02,0.396,663,340,-3.395328563,-0.114143095,-2.21000557,2.571905675
Traditional Bigs,Alexis Ajinça,C,ajincal01,2014,56,30,951,86,14.6,11.3,22.7,6.6,1.3,4.1,18.4,18,16.3,0.269,0.836,13.6,0.548,0,0.706,0.004,0,0,0.213,0.494,0.197,0.181,0.129,1855,951,-2.808051489,-0.028102436,-1.936250006,-0.218473544
Traditional Bigs,Alexis Ajinça,C,ajincal01,2015,68,8,957,86,19.9,12.4,25,8.2,1.2,4,15.6,24.3,21.1,0.301,0.818,18.1,0.55,0,0.613,0,0,0,0.088,0.34,0.353,0.198,0.106,1865,967,0.978375055,1.793286482,0.159531102,-0.057111061
Traditional Bigs,Alexis Ajinça,C,ajincal01,2016,59,17,861,86,13.8,9.3,25.9,5.8,1.1,3.4,13.6,20.3,20.4,0.197,0.839,18.1,0.478,0,0.767,0.003,0,0,0.098,0.283,0.257,0.108,0.346,1777,861,-2.152493538,0.262838216,-2.612156438,0.135601825
Traditional Bigs,Alexis Ajinça,C,ajincal01,2017,39,15,584,86,12.9,8.3,23.8,3.1,1.7,3.1,13.7,17.4,17.2,0.225,0.725,14.9,0.511,0,0.82,0.022,0,0,0.129,0.348,0.253,0.107,0.27,1223,584,-3.206903783,-0.136314643,-2.781053448,0.127572121
Rim-Running Athletic Bigs,Furkan Aldemir,PF,aldemfu01,2015,41,9,540,82,12,14.9,20.7,8.3,1.6,2.4,15.9,8.6,8.6,0.346,0.481,7.2,0.548,0,0.45,0.064,0,0,0.128,0.628,0.167,0.013,0.128,1087,540,-1.980146495,0.21216464,-2.857895983,0.028863509
Traditional Bigs,Cole Aldrich,C,aldrico01,2013,30,0,213,83,7.3,6.5,23.7,4.1,0.7,3.2,23,11.7,12.5,0.209,0.444,10.1,0.535,0,0.783,0,0,0,0.256,0.512,0.465,0.023,0,776,388,-4.845949804,-0.415412359,-5.500874507,0.554148058
Traditional Bigs,Cole Aldrich,C,aldrico01,2013,15,0,175,83,15.7,11.5,30.4,2.6,0.6,6.3,17.7,14.6,12.9,0.297,0.727,10.8,0.568,0,0.476,0,0,0,0.243,0.595,0.405,0,0,776,388,-4.845949804,-0.415412359,-5.500874507,0.554148058
Versatile Role Players,Cole Aldrich,C,aldrico01,2014,46,2,330,83,19.1,12.8,33.8,6.4,1.3,8.1,19.5,14.8,13,0.492,0.867,9.8,0.541,0,0.545,0,0,0,0.131,0.492,0.508,0,0,658,330,3.388513611,1.02873738,0.608227665,-0.443568112
Traditional Bigs,Cole Aldrich,C,aldrico01,2015,61,16,976,83,18.1,11.6,28.9,13.3,2,5.5,15.2,18.2,18.3,0.213,0.781,16.2,0.478,0,0.653,0,0,0,0.093,0.349,0.571,0.06,0.007,1915,976,-1.328403009,0.709716538,-1.735715892,0.247213254
Traditional Bigs,Cole Aldrich,C,aldrico01,2016,60,5,800,83,21.3,11.9,27.1,10,2.9,6.7,19.6,20.5,18.4,0.373,0.714,14.1,0.596,0,0.776,0,0,0,0.093,0.56,0.427,0.013,0,1770,877,1.543423799,1.526349689,3.294670604,0.392257458
Traditional Bigs,Cole Aldrich,C,aldrico01,2017,62,0,531,83,12.7,11,23.9,6.4,2.4,3.7,15.1,10,9.4,0.256,0.682,8.2,0.523,0,0.733,0,0,0,0.128,0.581,0.407,0.012,0,1088,531,-2.214168724,0.144464506,-1.655488413,-0.473588409
Traditional Bigs,LaMarcus Aldridge,C,aldrila01,2007,63,22,1392,83,17.1,12.6,15.3,3.2,0.9,4.2,7.5,22.1,19.3,0.24,0.722,18.7,0.505,0,0.68,0.004,0,0,0.121,0.367,0.129,0.194,0.305,2590,1392,-0.285288973,1.74674163,-0.2834966,-0.196253734
Rim-Running Athletic Bigs,LaMarcus Aldridge,PF,aldrila01,2008,76,76,2649,83,18.5,9.8,15.8,8.8,1.1,2.8,8.9,27.8,25.3,0.257,0.762,23.9,0.486,0.143,0.645,0.006,0.143,1,0.079,0.197,0.272,0.218,0.308,4907,2649,0.404756053,4.242447459,0.93317598,-0.466652747
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2009,81,81,3004,83,19.1,9.5,15.6,9.3,1.4,2,8,27.1,23.7,0.269,0.781,22.9,0.489,0.25,0.567,0.023,0.643,1,0.098,0.245,0.211,0.179,0.343,5901,3241,1.95633698,7.490755834,2.571816174,-0.690345438
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2010,78,78,2922,83,18.2,8.1,18.6,9.9,1.3,1.3,7.4,26.1,22.9,0.26,0.757,21.9,0.498,0.313,0.57,0.014,0.375,1,0.078,0.247,0.215,0.21,0.314,5821,3151,1.548284046,6.570551023,2.142666198,-0.504852864
Rim-Running Athletic Bigs,LaMarcus Aldridge,PF,aldrila01,2011,81,81,3211,83,21.5,10.1,17.2,10.1,1.4,2.4,8.7,30.1,25.7,0.314,0.791,24.1,0.505,0.174,0.546,0.016,0.217,0.75,0.117,0.32,0.271,0.155,0.238,6399,3469,2.488873925,8.637775318,2.754198352,-0.763243966
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2012,55,55,1994,83,22.7,8.6,17.5,13.2,1.3,1.7,9.5,31.4,27,0.291,0.814,24.9,0.516,0.182,0.536,0.012,0.364,0.5,0.062,0.281,0.182,0.205,0.32,3832,1994,2.468364823,5.278213129,2.560569501,-0.532861522
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2013,74,74,2790,83,20.4,7.2,20.9,13,1.2,2.5,8.9,29.4,26.5,0.264,0.81,24.8,0.488,0.143,0.542,0.011,0.286,0.5,0.047,0.215,0.192,0.197,0.385,5374,2790,1.263713993,5.669712619,1.420885951,-0.71115247
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2014,69,69,2498,83,21.8,7.2,25.5,13,1.3,1.9,7.2,32.5,29.8,0.253,0.822,28.8,0.461,0.2,0.599,0.011,0.067,0.667,0.027,0.186,0.162,0.226,0.415,5862,2939,3.759873558,7.721583795,4.521991741,-0.847995158
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2015,71,71,2512,83,22.8,7.7,22.9,9.2,1,1.9,7.2,33.7,30.2,0.256,0.845,28.7,0.475,0.352,0.468,0.074,0.295,0.919,0.02,0.192,0.164,0.206,0.365,5385,2720,3.916151844,8.937972946,3.920414354,-0.937202974
Rim-Running Athletic Bigs,LaMarcus Aldridge,PF,aldrila01,2016,74,74,2261,83,22.4,9.2,22.2,8.1,0.9,2.8,7.8,30.1,25.9,0.289,0.858,23.7,0.521,0,0.66,0.015,0.5,0,0.047,0.279,0.191,0.211,0.303,5096,2598,2.598511954,5.790129719,2.530897493,-1.033026966
Stretch Forwards,LaMarcus Aldridge,PF,aldrila01,2017,72,72,2335,83,18.6,8.5,16.6,9.9,1,3,7.7,27.1,24.5,0.258,0.812,22.9,0.48,0.411,0.577,0.053,0.411,0.957,0.041,0.222,0.194,0.202,0.328,5577,2872,-0.34039041,4.08566087,0.726944866,-1.664783899
Rim-Running Athletic Bigs,LaMarcus Aldridge,C,aldrila01,2018,75,75,2509,83,25,10.8,17.3,11.3,0.9,3,6.8,34.9,29.1,0.296,0.837,27.1,0.526,0.293,0.502,0.068,0.163,0.963,0.036,0.275,0.212,0.256,0.189,5298,2686,3.971629021,8.582586812,3.975738315,-1.593152487
Rim-Running Athletic Bigs,LaMarcus Aldridge,C,aldrila01,2019,81,81,2687,83,22.9,10.3,19.8,11.6,0.8,3.4,8.8,31.4,26.9,0.312,0.847,24,0.528,0.238,0.588,0.032,0.095,0.9,0.042,0.27,0.246,0.252,0.201,5983,2931,2.062849637,6.412486888,1.798625188,-1.233310548
