lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,MGortat,JWall,MMorris,BBeal,OPorterJr,WAS,69,1347,9.0,98.99,2017
2,RRubio,GDieng,ZLaVine,AWiggins,KTowns,MIN,41,881,-1.8,95.15,2017
3,CPaul,JRedick,DJordan,LMbahaMoute,BGriffin,LAC,46,871,14.4,96.3,2017
4,MWilliams,NBatum,KWalker,MKidd-Gilchrist,CZeller,CHA,47,784,5.6,96.93,2017
5,RWestbrook,ARoberson,SAdams,VOladipo,DSabonis,OKC,52,632,5.2,97.57,2017
6,MEllis,TYoung,JTeague,PGeorge,MTurner,IND,57,603,-1.2,100.62,2017
7,BRush,RRubio,GDieng,AWiggins,KTowns,MIN,39,596,1.2,96.05,2017
8,ZPachulia,KDurant,SCurry,KThompson,DGreen,GSW,43,532,23.2,102.65,2017
9,TAriza,RAnderson,JHarden,PBeverley,CCapela,HOU,42,505,18.3,99.61,2017
10,ISmith,MMorris,THarris,ADrummond,KCaldwell-Pope,DET,64,492,-8.3,96.63,2017
11,LJames,JSmith,KLove,KIrving,TThompson,CLE,27,454,5.4,98.44,2017
12,CMiles,TYoung,JTeague,PGeorge,MTurner,IND,45,444,6.8,97.25,2017
13,AJohnson,AHorford,ABradley,IThomas,JCrowder,BOS,36,434,6.9,96.25,2017
14,DHoward,TSefolosha,PMillsap,KBazemore,DSchroder,ATL,36,425,-4.3,99.46,2017
15,NVucevic,TRoss,EFournier,EPayton,AGordon,ORL,19,410,3.0,102.61,2017
16,MMorris,RJackson,JLeuer,ADrummond,KCaldwell-Pope,DET,37,404,-10.4,96.8,2017
17,LDeng,NYoung,TMozgov,JRandle,DRussell,LAL,28,403,4.8,97.99,2017
18,CAnthony,JNoah,DRose,CLee,KPorzingis,NYK,28,396,-6.3,97.17,2017
19,PGasol,TParker,LAldridge,DGreen,KLeonard,SAS,35,392,9.4,94.87,2017
20,DWade,RRondo,RLopez,TGibson,JButler,CHI,30,390,1.4,96.5,2017
21,JHenson,TSnell,GAntetokounmpo,MDellavedova,JParker,MIL,30,390,-1.9,98.85,2017
22,MMorris,THarris,RJackson,ADrummond,KCaldwell-Pope,DET,42,385,-9.7,96.2,2017
23,TYoung,JTeague,PGeorge,GRobinsonIII,MTurner,IND,28,376,6.7,101.38,2017
24,KLowry,DDeRozan,DCarroll,JValanciunas,PSiakam,TOR,32,365,-12.2,95.13,2017
25,SIbaka,NVucevic,EFournier,EPayton,AGordon,ORL,37,296,-2.3,96.2,2017
26,TChandler,EBledsoe,TWarren,DBooker,MChriss,PHX,26,295,-4.7,100.74,2017
27,TChandler,PTucker,EBledsoe,DBooker,MChriss,PHX,33,284,-4.2,98.2,2017
28,TAllen,MConley,MGasol,CParsons,JGreen,MEM,25,282,-6.5,94.51,2017
29,TAriza,EGordon,RAnderson,JHarden,CCapela,HOU,43,274,6.3,100.5,2017
30,DNowitzki,WMatthews,HBarnes,SCurry,YFerrell,DAL,23,257,4.7,98.01,2017
31,TParker,LAldridge,DGreen,KLeonard,DDedmon,SAS,32,257,3.9,90.08,2017
32,AAminu,DLillard,MHarkless,CMcCollum,MPlumlee,POR,21,255,9.7,96.31,2017
33,JCrawford,RFelton,MSpeights,WJohnson,ARivers,LAC,38,252,2.1,98.53,2017
34,GDragic,LBabbitt,HWhiteside,DWaiters,RMcGruder,MIA,27,247,1.8,97.76,2017
35,RFoye,BLopez,JLin,RHollis-Jefferson,CLeVert,BKN,22,245,1.1,107.37,2017
36,DHoward,PMillsap,KBazemore,DSchroder,THardawayJr,ATL,38,240,1.8,99.33,2017
37,SIbaka,DDeRozan,DCarroll,JValanciunas,CJoseph,TOR,16,233,0.4,93.87,2017
38,DLillard,MHarkless,CMcCollum,NVonleh,JNurkic,POR,19,229,5.7,96.54,2017
39,LJames,KLove,KIrving,TThompson,IShumpert,CLE,30,227,3.9,99.19,2017
40,AIguodala,KDurant,SCurry,KThompson,DGreen,GSW,46,224,22.4,107.49,2017
41,MWilliams,NBatum,KWalker,MKidd-Gilchrist,FKaminsky,CHA,32,219,-3.5,98.9,2017
42,RWestbrook,TGibson,ARoberson,SAdams,VOladipo,OKC,15,208,12.4,98.87,2017
43,WChandler,DGallinari,GHarris,NJokic,EMudiay,DEN,19,207,3.6,100.06,2017
44,KKorver,DHoward,PMillsap,KBazemore,DSchroder,ATL,21,206,-8.2,99.48,2017
45,EBledsoe,ALen,TWarren,DBooker,MChriss,PHX,20,205,-12.0,102.73,2017
46,MGortat,JWall,BBeal,OPorterJr,KOubreJr,WAS,39,200,16.9,103.54,2017
47,KLowry,PPatterson,CJoseph,TRoss,LNogueira,TOR,30,199,12.8,92.82,2017
48,JNelson,WChandler,DGallinari,GHarris,NJokic,DEN,20,198,3.6,101.45,2017
49,DAugustin,SIbaka,BBiyombo,EFournier,AGordon,ORL,25,196,-10.7,94.33,2017
50,TAriza,RAnderson,JHarden,PBeverley,MHarrell,HOU,31,196,2.8,102.64,2017
51,LWilliams,JClarkson,TBlack,LNanceJr,BIngram,LAL,23,195,9.8,101.46,2017
52,Nene,TAriza,EGordon,RAnderson,JHarden,HOU,48,194,10.5,108.23,2017
53,AJohnson,AHorford,IThomas,JCrowder,MSmart,BOS,29,192,14.1,95.32,2017
54,ISmith,MMorris,JLeuer,ADrummond,KCaldwell-Pope,DET,43,190,-4.6,97.27,2017
55,JHoliday,DCunningham,ADavis,SHill,BHield,NOP,19,189,11.4,98.29,2017
56,JHenson,TSnell,GAntetokounmpo,JParker,MBrogdon,MIL,28,184,-0.2,94.32,2017
57,JGreen,SIbaka,NVucevic,EFournier,EPayton,ORL,26,181,1.9,100.06,2017
58,LJames,KLove,KIrving,TThompson,DLiggins,CLE,12,181,31.5,98.35,2017
59,BLopez,TBooker,BBogdanovic,SKilpatrick,IWhitehead,BKN,25,179,-4.9,101.64,2017
60,TAriza,EGordon,RAnderson,JHarden,MHarrell,HOU,33,175,22.7,106.25,2017
61,ZPachulia,SCurry,KThompson,DGreen,PMcCaw,GSW,19,175,11.6,103.26,2017
62,CAnthony,DRose,CLee,KPorzingis,WHernangomez,NYK,28,172,-11.4,99.58,2017
63,MWilliams,RHibbert,NBatum,KWalker,MKidd-Gilchrist,CHA,20,170,7.8,95.83,2017
