lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,ZRandolph,RGay,MConley,MGasol,OMayo,MEM,65,1475,6.5,93.11,2010
2,NKrstic,TSefolosha,KDurant,JGreen,RWestbrook,OKC,76,1309,1.4,95.37,2010
3,KGarnett,RAllen,PPierce,KPerkins,RRondo,BOS,57,1179,12.6,93.49,2010
4,MBibby,JJohnson,JSmith,MWilliams,AHorford,ATL,75,1172,5.6,90.46,2010
5,GHill,SNash,JRichardson,AStoudemire,CFrye,PHX,65,829,8.3,98.45,2010
6,SBattier,LScola,TAriza,CHayes,ABrooks,HOU,54,824,0.0,93.39,2010
7,VCarter,RLewis,MBarnes,DHoward,JNelson,ORL,49,773,16.5,91.45,2010
8,DFisher,KBryant,MWorldPeace,PGasol,ABynum,LAL,42,669,12.4,93.52,2010
9,CBillups,KMartin,Nene,CAnthony,AAfflalo,DEN,37,537,7.2,96.97,2010
10,PStojakovic,DBrown,DWest,EOkafor,CPaul,NOH,28,496,2.9,93.18,2010
11,SJackson,NMohammed,GWallace,BDiaw,RFelton,CHA,40,454,-1.3,93.35,2010
12,GHill,SNash,JRichardson,AStoudemire,RLopez,PHX,34,453,4.0,98.97,2010
13,KHinrich,LDeng,JNoah,DRose,TGibson,CHI,41,452,2.5,95.8,2010
14,JJeffries,CDuhon,DLee,WChandler,DGallinari,NYK,32,447,2.9,93.53,2010
15,DFisher,KBryant,LOdom,MWorldPeace,PGasol,LAL,46,432,3.1,95.9,2010
16,TMurphy,EWatson,DGranger,BRush,RHibbert,IND,37,426,2.8,96.43,2010
17,MCamby,BDavis,RButler,CKaman,EGordon,LAC,27,407,10.1,99.07,2010
18,MBibby,JCrawford,JJohnson,JSmith,AHorford,ATL,66,406,12.9,92.53,2010
19,DFisher,KBryant,LOdom,MWorldPeace,ABynum,LAL,42,398,5.9,97.33,2010
20,SO'Neal,AParker,LJames,MWilliams,JHickson,CLE,34,385,-5.4,93.55,2010
21,MCamby,AMiller,LAldridge,BRoy,NBatum,POR,22,372,16.0,89.89,2010
22,HTurkoglu,CBosh,JJack,ABargnani,DDeRozan,TOR,34,370,-13.3,94.5,2010
23,JCrawford,JJohnson,JSmith,MWilliams,AHorford,ATL,69,356,9.0,93.3,2010
24,TRatliff,SJackson,GWallace,BDiaw,RFelton,CHA,23,350,-0.4,90.54,2010
25,JKidd,EDampier,DNowitzki,SMarion,JTerry,DAL,42,342,18.5,92.97,2010
26,SJackson,TChandler,GWallace,BDiaw,RFelton,CHA,34,341,4.2,94.48,2010
27,HTurkoglu,CBosh,JCalderon,ABargnani,DDeRozan,TOR,35,335,-0.4,93.01,2010
28,AKirilenko,MOkur,CBoozer,DWilliams,RBrewer,UTA,28,328,4.2,96.49,2010
29,JHayes,DHarris,JYi,BLopez,CLee,NJN,24,327,-2.2,93.47,2010
30,JSalmons,LDeng,JNoah,DRose,TGibson,CHI,39,314,-6.6,92.79,2010
31,BWallace,RHamilton,TPrince,RStuckey,JJerebko,DET,21,305,4.1,88.6,2010
32,BDavis,DGooden,RButler,CKaman,EGordon,LAC,16,303,-6.9,96.47,2010
33,AJefferson,RGomes,RHollins,CBrewer,JFlynn,MIN,35,296,-21.1,99.24,2010
34,VCarter,JWilliams,RLewis,MPietrus,DHoward,ORL,29,294,7.9,94.2,2010
35,BMiller,KHinrich,LDeng,DRose,TGibson,CHI,40,291,10.1,96.82,2010
36,JO'Neal,QRichardson,CArroyo,DWade,MBeasley,MIA,24,287,8.5,92.08,2010
37,JSalmons,CDelfino,ABogut,LMbahaMoute,BJennings,MIL,19,282,15.2,88.2,2010
38,AJefferson,DWilkins,CBrewer,KLove,JFlynn,MIN,34,281,-9.2,97.89,2010
39,MCamby,BDavis,CKaman,AThornton,EGordon,LAC,22,262,6.9,95.17,2010
40,ZRandolph,RGay,MConley,OMayo,HThabeet,MEM,38,261,-6.6,96.2,2010
41,MCamby,BDavis,RButler,CKaman,AThornton,LAC,28,258,-9.2,92.61,2010
42,EBrand,SDalembert,AIguodala,LWilliams,TYoung,PHI,24,254,-4.6,93.01,2010
43,LScola,KMartin,TAriza,CHayes,ABrooks,HOU,17,252,-1.6,96.78,2010
44,JO'Neal,RAlston,QRichardson,DWade,MBeasley,MIA,21,248,-0.4,92.05,2010
45,PStojakovic,MPeterson,DWest,EOkafor,DCollison,NOH,16,247,-3.2,96.07,2010
46,MOkur,CBoozer,DWilliams,RBrewer,WMatthews,UTA,25,242,-0.1,91.71,2010
47,AParker,AJamison,LJames,MWilliams,JHickson,CLE,18,239,9.9,94.25,2010
48,AMcDyess,TDuncan,MGinobili,RJefferson,GHill,SAS,33,231,10.5,92.83,2010
49,SNash,JRichardson,AStoudemire,CFrye,JDudley,PHX,63,223,16.4,101.8,2010
50,JKidd,DNowitzki,SMarion,BHaywood,CButler,DAL,19,221,1.4,92.35,2010
51,CBillups,Nene,CAnthony,JPetro,AAfflalo,DEN,18,215,5.2,90.66,2010
52,AJefferson,DWilkins,RGomes,CBrewer,JFlynn,MIN,29,214,-9.0,96.78,2010
53,JO'Neal,QRichardson,DWade,MBeasley,MChalmers,MIA,23,214,6.2,95.36,2010
54,DHarris,JYi,BLopez,CLee,CDouglas-Roberts,NJN,19,207,-12.7,95.26,2010
55,NCollison,TSefolosha,KDurant,JGreen,RWestbrook,OKC,58,207,4.0,98.84,2010
56,MOkur,CBoozer,DWilliams,CMiles,WMatthews,UTA,21,205,9.6,97.67,2010
57,NCollison,JGreen,SIbaka,JHarden,EMaynor,OKC,37,202,-5.6,90.34,2010
58,LHughes,CDuhon,DLee,WChandler,DGallinari,NYK,21,200,-10.8,103.85,2010
59,EBrand,SDalembert,JKapono,AIguodala,JHoliday,PHI,15,199,-1.0,90.54,2010
60,RWallace,RAllen,PPierce,KPerkins,RRondo,BOS,21,195,-1.0,92.42,2010
61,DHarris,JYi,BLopez,CLee,TWilliams,NJN,19,192,-5.1,93.78,2010
62,AMcDyess,TDuncan,RJefferson,TParker,KBogans,SAS,27,191,10.9,94.14,2010
63,CBell,CDelfino,ABogut,LMbahaMoute,BJennings,MIL,19,189,4.8,89.87,2010
64,JHoward,AMiller,MWebster,LAldridge,JBayless,POR,20,188,5.9,86.34,2010
65,AIverson,SDalembert,AIguodala,LWilliams,TYoung,PHI,14,186,-7.4,94.05,2010
66,JHoward,AMiller,MWebster,LAldridge,BRoy,POR,25,186,-1.7,86.76,2010
67,RHamilton,TPrince,JMaxiell,WBynum,JJerebko,DET,20,185,-11.1,87.71,2010
68,KGarnett,RWallace,RAllen,PPierce,RRondo,BOS,43,182,-2.2,97.51,2010
69,JKidd,EDampier,DNowitzki,SMarion,JBarea,DAL,18,177,15.9,92.32,2010
