lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,JTeague,TGibson,JButler,AWiggins,KTowns,MIN,48,1131,7.8,97.21,2018
2,DHoward,MWilliams,NBatum,KWalker,MKidd-Gilchrist,CHA,56,1086,2.6,100.52,2018
3,KLowry,SIbaka,DDeRozan,JValanciunas,OAnunoby,TOR,54,801,10.0,100.01,2018
4,TYoung,DCollison,BBogdanovic,VOladipo,MTurner,IND,44,696,2.2,97.7,2018
5,EBledsoe,JHenson,KMiddleton,TSnell,GAntetokounmpo,MIL,45,606,5.8,98.34,2018
6,JRedick,RCovington,JEmbiid,DSaric,BSimmons,PHI,49,601,20.5,101.54,2018
7,CAnthony,RWestbrook,PGeorge,ARoberson,SAdams,OKC,31,539,14.6,97.26,2018
8,ETurner,AAminu,DLillard,CMcCollum,JNurkic,POR,43,535,8.4,98.71,2018
9,MGortat,MMorris,BBeal,TSatoransky,OPorterJr,WAS,38,526,8.7,95.07,2018
10,RLopez,JHoliday,KDunn,DValentine,LMarkkanen,CHI,34,504,-6.9,100.91,2018
11,MGortat,JWall,MMorris,BBeal,OPorterJr,WAS,30,484,7.1,98.31,2018
12,RRubio,DFavors,RGobert,JIngles,DMitchell,UTA,46,456,12.3,98.74,2018
13,AAminu,DLillard,MHarkless,CMcCollum,JNurkic,POR,30,442,8.5,99.92,2018
14,ZPachulia,KDurant,SCurry,KThompson,DGreen,GSW,37,414,8.5,103.62,2018
15,RRondo,JHoliday,DCousins,EMoore,ADavis,NOP,28,408,-0.1,102.43,2018
16,ABradley,THarris,RJackson,ADrummond,SJohnson,DET,24,397,-8.1,96.58,2018
17,JJack,CLee,EKanter,THardawayJr,KPorzingis,NYK,26,383,8.9,96.67,2018
18,JTeague,TGibson,NBjelica,AWiggins,KTowns,MIN,26,382,7.6,100.08,2018
19,TYoung,DCollison,BBogdanovic,VOladipo,DSabonis,IND,36,366,9.6,99.63,2018
20,AHorford,KIrving,ABaynes,JBrown,JTatum,BOS,38,354,13.2,96.15,2018
21,LJames,JSmith,JCalderon,KLove,JCrowder,CLE,22,354,7.0,96.39,2018
22,EIlyasova,MPlumlee,KBazemore,DSchroder,TPrince,ATL,33,352,-7.1,99.79,2018
