lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,MBarnes,CPaul,JRedick,DJordan,BGriffin,LAC,60,1217,18.6,96.2,2015
2,KKorver,PMillsap,AHorford,JTeague,DCarroll,ATL,57,915,8.5,97.43,2015
3,ABogut,SCurry,KThompson,HBarnes,DGreen,GSW,59,813,20.6,100.38,2015
4,LAldridge,RLopez,NBatum,WMatthews,DLillard,POR,32,630,11.0,96.15,2015
5,PPierce,Nene,MGortat,JWall,BBeal,WAS,41,597,5.5,96.45,2015
6,LJames,JSmith,KLove,TMozgov,KIrving,CLE,33,481,20.4,97.69,2015
7,ZRandolph,TAllen,MConley,MGasol,CLee,MEM,43,460,7.1,95.07,2015
8,DNowitzki,TChandler,MEllis,RRondo,CParsons,DAL,31,455,-3.4,97.91,2015
9,RGay,JThompson,DCollison,DCousins,BMcLemore,SAC,30,427,17.2,97.42,2015
10,ZRandolph,MConley,JGreen,MGasol,CLee,MEM,29,426,-4.5,93.24,2015
11,WChandler,AAfflalo,TLawson,TMozgov,KFaried,DEN,30,416,0.3,96.12,2015
12,PTucker,GDragic,EBledsoe,MMorris,ALen,PHX,40,392,7.4,98.11,2015
13,AJohnson,KLowry,DDeRozan,JValanciunas,TRoss,TOR,32,390,2.4,95.06,2015
14,DWest,CMiles,RHibbert,GHill,SHill,IND,32,374,2.6,93.71,2015
15,DHoward,TAriza,JHarden,PBeverley,DMotiejunas,HOU,26,361,11.2,96.82,2015
16,PGasol,MDunleavy,JNoah,DRose,JButler,CHI,21,353,4.1,96.01,2015
17,EGordon,OAsik,TEvans,QPondexter,ADavis,NOP,26,347,6.7,92.38,2015
18,ZPachulia,EIlyasova,KMiddleton,MCarter-Williams,GAntetokounmpo,MIL,24,344,9.6,96.14,2015
19,KBryant,CBoozer,JHill,WJohnson,JLin,LAL,21,338,-14.5,98.43,2015
20,DFavors,GHayward,EKanter,ABurks,TBurke,UTA,24,328,0.2,91.48,2015
21,BBass,ETurner,ABradley,TZeller,MSmart,BOS,33,321,-5.8,98.31,2015
22,PPierce,KHumphries,MGortat,JWall,BBeal,WAS,33,318,3.1,96.51,2015
23,LAldridge,AAfflalo,RLopez,NBatum,DLillard,POR,21,314,-6.8,96.15,2015
24,KBryant,RPrice,JHill,WJohnson,EDavis,LAL,19,269,-9.0,95.06,2015
25,RFoye,WChandler,DGallinari,TLawson,KFaried,DEN,17,267,10.0,98.73,2015
