lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,RWestbrook,PGeorge,SAdams,JGrant,TFerguson,OKC,58,919,9.2,104.97,2019
2,DAugustin,NVucevic,EFournier,AGordon,JIsaac,ORL,66,852,2.4,99.19,2019
3,AAminu,DLillard,MHarkless,CMcCollum,JNurkic,POR,42,744,9.2,101.38,2019
4,BLopez,EBledsoe,KMiddleton,GAntetokounmpo,MBrogdon,MIL,56,597,5.7,107.3,2019
5,MWilliams,NBatum,KWalker,JLamb,CZeller,CHA,48,593,8.0,99.95,2019
6,TYoung,DCollison,BBogdanovic,VOladipo,MTurner,IND,32,555,5.3,97.57,2019
7,KLowry,SIbaka,DGreen,KLeonard,PSiakam,TOR,33,547,9.2,100.95,2019
8,AHorford,KIrving,MMorris,MSmart,JTatum,BOS,43,505,6.3,101.46,2019
9,RRubio,DFavors,RGobert,JIngles,DMitchell,UTA,56,501,5.2,101.75,2019
10,NBjelica,IShumpert,WCauley-Stein,BHield,DFox,SAC,40,500,1.3,105.25,2019
11,RRubio,JCrowder,RGobert,JIngles,DMitchell,UTA,60,478,12.8,105.3,2019
12,MConley,MGasol,GTemple,KAnderson,JJacksonJr,MEM,40,464,9.2,96.59,2019
13,RWestbrook,PGeorge,DSchroder,SAdams,JGrant,OKC,58,434,9.3,109.8,2019
14,PMillsap,WBarton,GHarris,NJokic,JMurray,DEN,24,430,7.8,98.69,2019
15,CPaul,PTucker,EGordon,JHarden,CCapela,HOU,39,420,7.3,101.21,2019
16,DJordan,WMatthews,HBarnes,DSmithJr,LDoncic,DAL,21,412,-7.2,101.5,2019
17,LAldridge,RGay,DDeRozan,BForbes,DWhite,SAS,41,388,4.8,97.45,2019
18,AAminu,DLillard,CMcCollum,JNurkic,JLayman,POR,42,369,11.3,100.84,2019
19,TAriza,JGreen,BBeal,TSatoransky,TBryant,WAS,25,357,1.1,100.45,2019
20,MGortat,DGallinari,ABradley,THarris,SGilgeous-Alexander,LAC,29,349,-7.6,98.96,2019
21,TYoung,DCollison,WMatthews,BBogdanovic,MTurner,IND,17,326,-1.4,97.47,2019
22,DDedmon,TPrince,JCollins,KHuerter,TYoung,ATL,26,324,-4.5,105.33,2019
23,KDurant,SCurry,KThompson,DGreen,KLooney,GSW,46,313,17.2,105.8,2019
24,BGriffin,RJackson,ADrummond,RBullock,BBrown,DET,22,309,14.1,97.42,2019
25,AWiggins,DSaric,TJones,KTowns,JOkogie,MIN,26,299,-1.3,104.01,2019
26,JRedick,WChandler,JButler,JEmbiid,BSimmons,PHI,23,293,12.6,103.63,2019
27,BGriffin,WEllington,RJackson,ADrummond,BBrown,DET,20,289,3.1,97.56,2019
28,KDurant,SCurry,DCousins,KThompson,DGreen,GSW,21,268,13.1,105.57,2019
29,ETurner,AAminu,DLillard,CMcCollum,JNurkic,POR,47,260,17.8,105.23,2019
30,TYoung,TEvans,DCollison,BBogdanovic,MTurner,IND,21,260,10.3,100.18,2019
31,DGallinari,PBeverley,IZubac,SGilgeous-Alexander,LShamet,LAC,19,255,9.3,100.64,2019
32,TAriza,JGreen,BBeal,TSatoransky,BPortis,WAS,16,248,-1.8,102.78,2019
33,NBjelica,HBarnes,WCauley-Stein,BHield,DFox,SAC,21,244,-1.0,107.2,2019
34,DAugustin,NVucevic,TRoss,EFournier,AGordon,ORL,52,238,6.5,102.18,2019
35,LJames,JMcGee,BIngram,LBall,KKuzma,LAL,18,234,-0.6,104.04,2019
36,JTeague,TGibson,RCovington,AWiggins,KTowns,MIN,13,230,2.7,98.76,2019
37,JHoliday,ZLaVine,JParker,RArcidiacono,WCarterJr,CHI,19,228,-4.8,104.25,2019
38,MWilliams,NBatum,BBiyombo,KWalker,JLamb,CHA,24,215,-8.5,98.15,2019
39,CPaul,PTucker,JHarden,JEnnisIII,CCapela,HOU,18,212,-6.8,98.75,2019
40,RLopez,OPorterJr,ZLaVine,KDunn,LMarkkanen,CHI,12,204,-4.8,102.05,2019
41,DAugustin,NVucevic,EFournier,AGordon,WIwundu,ORL,34,199,8.7,99.37,2019
42,PMillsap,GHarris,NJokic,JMurray,TCraig,DEN,19,199,-5.9,98.72,2019
43,DJordan,WMatthews,HBarnes,JBrunson,LDoncic,DAL,14,197,-2.4,101.84,2019
44,ETurner,MLeonard,SCurry,NStauskas,ZCollins,POR,25,196,2.5,97.59,2019
45,TWarren,DBooker,MBridges,DMelton,DAyton,PHX,15,191,-16.2,104.17,2019
46,HBarnes,BBogdanovic,WCauley-Stein,BHield,DFox,SAC,20,189,-3.4,106.16,2019
47,JDudley,JHarris,DRussell,CLeVert,JAllen,BKN,16,189,-1.9,98.13,2019
48,KLowry,SIbaka,DGreen,PSiakam,FVanVleet,TOR,20,187,15.3,97.3,2019
49,LAldridge,DDeRozan,JPoeltl,BForbes,DWhite,SAS,21,187,-4.6,95.9,2019
50,SIbaka,DGreen,KLeonard,PSiakam,FVanVleet,TOR,17,187,15.7,99.83,2019
51,RWestbrook,DSchroder,SAdams,JGrant,TFerguson,OKC,33,186,2.0,109.35,2019
52,AIguodala,KDurant,SCurry,KThompson,DGreen,GSW,38,178,28.0,111.15,2019
53,TYoung,TEvans,CJoseph,DMcDermott,DSabonis,IND,32,178,23.2,98.68,2019
54,LAldridge,RGay,DDeRozan,DCunningham,BForbes,SAS,17,169,-4.1,102.27,2019
55,MPlumlee,TLyles,MBeasley,JMurray,MMorris,DEN,27,168,5.2,101.43,2019
56,EKanter,THardawayJr,NVonleh,EMudiay,KKnox,NYK,15,166,-16.1,102.39,2019
57,JJohnson,HWhiteside,RMcGruder,JWinslow,JRichardson,MIA,16,163,-3.7,97.74,2019
58,JRedick,THarris,JButler,JEmbiid,BSimmons,PHI,10,161,19.4,106.78,2019
