lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,DFisher,KBryant,LOdom,MWorldPeace,PGasol,LAL,77,953,13.8,94.26,2011
2,DWest,EOkafor,TAriza,CPaul,MBelinelli,NOH,52,883,3.5,90.77,2011
3,SBattier,LScola,KMartin,CHayes,KLowry,HOU,44,796,10.4,95.02,2011
4,EBrand,AIguodala,SHawes,JHoliday,JMeeks,PHI,56,777,6.8,92.09,2011
5,DFisher,KBryant,MWorldPeace,PGasol,ABynum,LAL,52,762,10.4,90.86,2011
6,AKirilenko,RBell,AJefferson,DWilliams,PMillsap,UTA,40,749,-2.2,92.78,2011
7,TDuncan,MGinobili,RJefferson,TParker,DBlair,SAS,64,688,10.7,96.83,2011
8,ABiedrins,DWright,DLee,MEllis,SCurry,GSW,46,687,-2.6,98.78,2011
9,HTurkoglu,JRichardson,DHoward,JNelson,BBass,ORL,46,630,9.6,90.57,2011
10,AStoudemire,RFelton,WChandler,DGallinari,LFields,NYK,39,572,5.1,99.61,2011
11,NKrstic,TSefolosha,KDurant,JGreen,RWestbrook,OKC,35,542,0.0,98.37,2011
12,KGarnett,RAllen,PPierce,RRondo,GDavis,BOS,55,515,18.5,95.19,2011
13,DMilicic,LRidnour,MBeasley,KLove,WJohnson,MIN,45,473,-2.1,97.36,2011
14,MCamby,AMiller,LAldridge,NBatum,WMatthews,POR,40,452,1.5,90.3,2011
15,MDunleavy,DGranger,JMcRoberts,RHibbert,DCollison,IND,38,443,14.0,99.33,2011
16,ZIlgauskas,CArroyo,LJames,CBosh,DWade,MIA,35,428,13.1,92.13,2011
17,CBoozer,KBogans,LDeng,JNoah,DRose,CHI,29,420,5.8,91.03,2011
18,ZRandolph,TAllen,MConley,MGasol,SYoung,MEM,34,404,7.9,92.02,2011
19,KThomas,CBoozer,KBogans,LDeng,DRose,CHI,30,403,8.3,90.32,2011
20,JSalmons,CDelfino,ABogut,LMbahaMoute,BJennings,MIL,27,393,0.1,90.9,2011
21,MBibby,JJohnson,JSmith,MWilliams,AHorford,ATL,26,384,7.5,88.98,2011
22,SJackson,KBrown,GWallace,BDiaw,DAugustin,CHA,27,364,-8.6,88.83,2011
23,GHill,SNash,VCarter,CFrye,RLopez,PHX,30,363,6.1,99.02,2011
24,SJackson,NMohammed,GWallace,BDiaw,DAugustin,CHA,39,363,-0.4,93.97,2011
25,DWright,DLee,MEllis,SCurry,EUdoh,GSW,37,362,5.8,97.69,2011
26,DNowitzki,SMarion,JTerry,BHaywood,JBarea,DAL,47,350,7.2,92.2,2011
27,ZRandolph,RGay,MConley,MGasol,OMayo,MEM,36,333,2.5,94.94,2011
28,BDavis,RGomes,EGordon,DJordan,BGriffin,LAC,26,329,7.7,95.84,2011
29,DGranger,RHibbert,THansbrough,DCollison,PGeorge,IND,36,329,-3.5,97.51,2011
30,GHill,SNash,CFrye,MGortat,JDudley,PHX,33,311,6.3,95.95,2011
31,CBillups,KMartin,Nene,CAnthony,AAfflalo,DEN,19,310,7.3,93.39,2011
