lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,KPerkins,TSefolosha,KDurant,RWestbrook,SIbaka,OKC,76,1307,12.2,95.15,2013
2,DWest,RHibbert,GHill,PGeorge,LStephenson,IND,64,1218,11.7,91.41,2013
3,LAldridge,JHickson,NBatum,WMatthews,DLillard,POR,60,1143,-1.6,93.06,2013
4,AIguodala,DGallinari,KKoufos,TLawson,KFaried,DEN,62,797,7.6,95.37,2013
5,CButler,WGreen,CPaul,DJordan,BGriffin,LAC,46,701,8.2,90.61,2013
6,LJames,CBosh,DWade,UHaslem,MChalmers,MIA,47,688,13.2,92.02,2013
7,JJohnson,GWallace,REvans,DWilliams,BLopez,BKN,46,640,4.8,90.61,2013
8,ZRandolph,TAllen,RGay,MConley,MGasol,MEM,35,631,9.4,90.26,2013
9,TPrince,JMaxiell,GMonroe,BKnight,KSingler,DET,42,605,1.4,90.68,2013
10,JSalmons,JThompson,TEvans,DCousins,IThomas,SAC,44,581,-6.7,96.71,2013
11,OAsik,JHarden,PPatterson,JLin,CParsons,HOU,37,567,-0.4,98.61,2013
12,ZRandolph,TPrince,TAllen,MConley,MGasol,MEM,31,557,12.4,86.42,2013
13,DLee,SCurry,KThompson,HBarnes,FEzeli,GSW,57,517,3.2,95.89,2013
14,EGordon,RLopez,AAminu,GVasquez,ADavis,NOH,35,505,-0.7,93.2,2013
15,JTinsley,AJefferson,MWilliams,RFoye,PMillsap,UTA,32,454,-7.2,90.34,2013
16,LScola,MGortat,PTucker,JDudley,GDragic,PHX,39,442,-5.8,94.87,2013
17,RHamilton,CBoozer,KHinrich,LDeng,JNoah,CHI,25,429,3.6,92.11,2013
18,ABogut,DLee,SCurry,KThompson,HBarnes,GSW,30,423,1.9,96.54,2013
19,AGee,KIrving,TThompson,DWaiters,TZeller,CLE,32,422,-5.6,94.39,2013
20,JJack,DLee,CLandry,SCurry,KThompson,GSW,63,401,7.9,99.06,2013
21,EIlyasova,MEllis,LMbahaMoute,BJennings,LSanders,MIL,35,389,4.1,96.92,2013
22,JRichardson,TYoung,JHoliday,ETurner,LAllen,PHI,27,382,6.1,93.04,2013
23,AKirilenko,LRidnour,NPekovic,RRubio,DWilliams,MIN,25,376,-4.0,94.48,2013
24,TDuncan,TParker,TSplitter,DGreen,KLeonard,SAS,31,364,18.1,94.63,2013
25,DWilkins,SHawes,TYoung,JHoliday,ETurner,PHI,28,363,-1.9,95.46,2013
26,KPerkins,KMartin,KDurant,RWestbrook,SIbaka,OKC,71,358,7.4,100.15,2013
27,KKorver,DHarris,JSmith,AHorford,JTeague,ATL,31,351,9.7,97.39,2013
28,MWilliams,AJefferson,RFoye,PMillsap,GHayward,UTA,32,350,-3.3,94.54,2013
29,AJohnson,RGay,KLowry,DDeRozan,JValanciunas,TOR,25,343,14.7,93.45,2013
30,SNash,KBryant,MWorldPeace,DHoward,EClark,LAL,30,340,4.8,96.41,2013
31,OAsik,JHarden,JLin,MMorris,CParsons,HOU,42,333,3.9,101.13,2013
32,DStevenson,KKorver,JSmith,AHorford,JTeague,ATL,25,332,10.6,95.48,2013
33,SBattier,LJames,CBosh,DWade,MChalmers,MIA,45,300,19.2,96.72,2013
