lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,DWest,DGranger,RHibbert,DCollison,PGeorge,IND,56,1000,9.7,93.74,2012
2,GHill,SNash,CFrye,MGortat,JDudley,PHX,45,747,14.5,94.18,2012
3,KPerkins,TSefolosha,KDurant,RWestbrook,SIbaka,OKC,42,664,6.6,95.52,2012
4,CButler,CPaul,RFoye,DJordan,BGriffin,LAC,45,648,7.3,89.28,2012
5,TPrince,JMaxiell,RStuckey,GMonroe,BKnight,DET,42,570,-3.2,91.36,2012
6,LJames,CBosh,DWade,JAnthony,MChalmers,MIA,39,535,11.0,95.92,2012
7,HTurkoglu,JRichardson,DHoward,JNelson,RAnderson,ORL,34,530,5.7,91.86,2012
8,TAllen,RGay,MConley,MGasol,MSpeights,MEM,45,523,-1.5,91.0,2012
9,DFisher,KBryant,MWorldPeace,PGasol,ABynum,LAL,30,492,5.9,93.2,2012
10,SDalembert,LScola,KMartin,KLowry,CParsons,HOU,30,456,1.2,94.75,2012
11,KPerkins,KDurant,RWestbrook,SIbaka,JHarden,OKC,56,408,5.6,94.87,2012
12,MCamby,GWallace,RFelton,LAldridge,WMatthews,POR,29,405,8.9,93.7,2012
13,RBell,DHarris,AJefferson,PMillsap,GHayward,UTA,27,402,-4.1,92.08,2012
14,JJohnson,ZPachulia,JSmith,MWilliams,JTeague,ATL,35,398,-2.5,91.11,2012
15,SNash,CFrye,MGortat,SBrown,JDudley,PHX,34,353,1.2,97.64,2012
16,JJohnson,KHinrich,ZPachulia,JSmith,JTeague,ATL,19,338,10.3,91.14,2012
17,KGarnett,RAllen,PPierce,BBass,RRondo,BOS,29,327,4.0,94.31,2012
18,JThompson,TEvans,MThornton,DCousins,IThomas,SAC,26,318,-4.8,98.3,2012
19,AParker,AJamison,AVarejao,OCasspi,KIrving,CLE,18,311,-4.8,94.6,2012
20,DFisher,KBryant,PGasol,MBarnes,ABynum,LAL,33,306,-0.5,93.12,2012
21,CBoozer,LDeng,RBrewer,JNoah,DRose,CHI,23,290,16.9,90.04,2012
22,KPerkins,KDurant,DCook,RWestbrook,SIbaka,OKC,24,289,-8.5,95.6,2012
23,ABiedrins,DWright,DLee,MEllis,SCurry,GSW,18,277,-3.8,93.77,2012
24,CBillups,CButler,CPaul,DJordan,BGriffin,LAC,14,272,15.7,89.6,2012
25,CBoozer,LDeng,RBrewer,JNoah,CWatson,CHI,21,269,-0.2,89.54,2012
26,LRidnour,KLove,NPekovic,RRubio,WJohnson,MIN,19,268,2.6,92.89,2012
27,TChandler,AStoudemire,CAnthony,LFields,IShumpert,NYK,19,262,1.4,94.09,2012
28,TChandler,AStoudemire,CAnthony,LFields,JLin,NYK,15,260,3.6,97.38,2012
29,RHamilton,CBoozer,LDeng,JNoah,DRose,CHI,15,254,5.1,91.86,2012
30,AParker,AJamison,AGee,KIrving,TThompson,CLE,21,252,-9.9,92.64,2012
31,DHarris,AJefferson,CMiles,PMillsap,GHayward,UTA,27,247,-0.1,95.84,2012
32,DWest,DGranger,RHibbert,GHill,PGeorge,IND,23,230,14.7,93.7,2012
33,MCamby,LScola,CLee,GDragic,CParsons,HOU,17,229,1.8,91.62,2012
34,HTurkoglu,DHoward,JNelson,JRedick,RAnderson,ORL,33,223,17.7,93.11,2012
35,KGarnett,PPierce,BBass,RRondo,ABradley,BOS,18,219,19.3,93.36,2012
36,NYoung,JMcGee,JWall,TBooker,CSingleton,WAS,25,201,-9.3,95.04,2012
37,JWall,KSeraphin,JCrawford,JVesely,CSingleton,WAS,22,199,-3.8,95.56,2012
38,EBrand,AIguodala,SHawes,JHoliday,JMeeks,PHI,24,197,15.8,95.46,2012
39,CButler,MWilliams,CPaul,DJordan,BGriffin,LAC,41,193,2.4,93.69,2012
