lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,EIlyasova,MMorris,RJackson,ADrummond,KCaldwell-Pope,DET,48,915,3.8,96.02,2016
2,KKorver,PMillsap,AHorford,JTeague,KBazemore,ATL,70,892,3.7,100.33,2016
3,KDurant,RWestbrook,SIbaka,ARoberson,SAdams,OKC,59,816,17.8,97.03,2016
4,CAnthony,JCalderon,AAfflalo,RLopez,KPorzingis,NYK,51,735,-2.3,94.25,2016
5,AJohnson,ABradley,IThomas,JSullinger,JCrowder,BOS,62,723,2.4,97.76,2016
6,TDuncan,TParker,LAldridge,DGreen,KLeonard,SAS,48,698,9.2,94.2,2016
7,RRubio,GDieng,ZLaVine,AWiggins,KTowns,MIN,47,648,2.2,99.98,2016
8,AAminu,DLillard,CMcCollum,MPlumlee,NVonleh,POR,54,611,0.0,96.21,2016
9,KBryant,RHibbert,JClarkson,JRandle,DRussell,LAL,53,572,-22.8,99.88,2016
10,ABogut,SCurry,KThompson,HBarnes,DGreen,GSW,49,552,13.2,102.67,2016
11,GMonroe,KMiddleton,MCarter-Williams,GAntetokounmpo,JParker,MIL,41,539,-6.5,96.05,2016
12,LJames,JSmith,KLove,KIrving,TThompson,CLE,38,466,12.6,93.9,2016
13,MMorris,THarris,RJackson,ADrummond,KCaldwell-Pope,DET,25,462,5.1,95.16,2016
14,IMahinmi,MEllis,GHill,PGeorge,MTurner,IND,29,452,4.4,100.51,2016
15,DNowitzki,ZPachulia,DWilliams,WMatthews,CParsons,DAL,40,419,0.5,94.11,2016
16,JJohnson,TYoung,BLopez,WEllington,DSloan,BKN,26,408,2.8,94.84,2016
17,MWilliams,CLee,NBatum,KWalker,CZeller,CHA,23,407,10.4,97.16,2016
18,PPierce,CPaul,JRedick,DJordan,LMbahaMoute,LAC,30,375,10.9,95.46,2016
19,KDurant,RWestbrook,SIbaka,DWaiters,SAdams,OKC,51,360,14.2,99.88,2016
20,CBosh,DWade,LDeng,GDragic,HWhiteside,MIA,28,339,-1.2,92.34,2016
21,CFrye,NVucevic,THarris,EFournier,EPayton,ORL,26,334,7.5,93.59,2016
22,IMahinmi,CMiles,MEllis,GHill,PGeorge,IND,37,334,-5.5,104.09,2016
23,IMahinmi,MEllis,GHill,PGeorge,LAllen,IND,43,334,5.7,96.2,2016
24,LScola,KLowry,DDeRozan,JJohnson,JValanciunas,TOR,25,327,-3.9,93.81,2016
25,MGortat,JDudley,GTemple,JWall,OPorterJr,WAS,43,312,-2.8,98.18,2016
26,DFavors,GHayward,RGobert,RNeto,RHood,UTA,30,305,9.4,92.27,2016
27,JJohnson,JJack,TYoung,BLopez,BBogdanovic,BKN,30,297,-2.9,97.53,2016
28,KLowry,PPatterson,BBiyombo,CJoseph,TRoss,TOR,44,297,19.0,90.55,2016
29,DHoward,TAriza,JHarden,PBeverley,DMotiejunas,HOU,33,296,11.5,99.41,2016
30,AAminu,DLillard,MHarkless,CMcCollum,MPlumlee,POR,36,290,12.6,101.39,2016
31,DGallinari,KFaried,GHarris,NJokic,EMudiay,DEN,22,290,-1.5,97.74,2016
32,JBayless,GMonroe,KMiddleton,GAntetokounmpo,JParker,MIL,27,289,-1.6,94.63,2016
33,KGarnett,TPrince,RRubio,AWiggins,KTowns,MIN,25,276,8.0,93.53,2016
34,CPaul,JRedick,DJordan,LMbahaMoute,BGriffin,LAC,19,273,17.4,96.72,2016
35,DNowitzki,ZPachulia,RFelton,DWilliams,WMatthews,DAL,40,272,14.1,94.49,2016
36,TPrince,RRubio,GDieng,AWiggins,KTowns,MIN,37,262,-2.7,94.89,2016
37,ZRandolph,TAllen,MConley,MGasol,CLee,MEM,25,261,7.0,92.07,2016
38,MWilliams,NBatum,KWalker,CZeller,PHairston,CHA,23,259,-2.3,95.48,2016
39,DFavors,GHayward,SMack,RGobert,RHood,UTA,22,256,8.9,92.59,2016
40,ABogut,BRush,SCurry,KThompson,DGreen,GSW,34,254,16.6,105.33,2016
41,LJames,JSmith,KLove,TMozgov,KIrving,CLE,28,251,-8.7,96.4,2016
42,KKorver,TSefolosha,PMillsap,AHorford,JTeague,ATL,56,235,5.9,100.45,2016
43,MGortat,JDudley,JWall,BBeal,OPorterJr,WAS,31,230,12.8,102.58,2016
44,CAnthony,SVujacic,JCalderon,RLopez,KPorzingis,NYK,19,229,3.7,96.53,2016
