lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
66,VCarter,THassell,DHarris,BLopez,RAnderson,NJN,16,176,-5.6,92.91,2009
67,DMason,NCollison,KDurant,JGreen,RWestbrook,OKC,21,173,13.2,95.03,2009
68,BWallace,LJames,MWilliams,DWest,AVarejao,CLE,21,172,13.9,90.49,2009
69,QRichardson,JJeffries,CDuhon,DLee,WChandler,NYK,24,171,-13.3,98.95,2009
70,REvans,AIguodala,RIvey,LWilliams,MSpeights,PHI,42,171,-6.3,92.89,2009
71,AHarrington,CDuhon,NRobinson,DLee,WChandler,NYK,42,170,1.9,106.66,2009
72,CBillups,KMartin,Nene,CAnthony,JSmith,DEN,37,166,18.9,101.41,2009
73,EWatson,NCollison,KDurant,JGreen,RWestbrook,OKC,28,166,9.6,101.53,2009
74,SMarion,DWade,UHaslem,DCook,MChalmers,MIA,28,166,13.7,98.83,2009
75,TMcGrady,RAlston,SBattier,Yao,LScola,HOU,10,162,-2.5,95.42,2009
76,RLewis,HTurkoglu,MPietrus,DHoward,JNelson,ORL,16,161,14.4,94.05,2009
77,LOdom,SVujacic,TAriza,ABynum,JFarmar,LAL,23,160,15.4,99.04,2009
78,NCollison,KDurant,JGreen,RWestbrook,KWeaver,OKC,21,159,-10.5,95.95,2009
79,MFinley,TDuncan,MGinobili,TParker,MBonner,SAS,32,158,5.2,95.92,2009
80,RWallace,AIverson,RHamilton,KBrown,TPrince,DET,13,158,-12.8,87.99,2009
81,ACarter,CAndersen,Nene,JSmith,LKleiza,DEN,41,157,22.1,99.57,2009
82,JKidd,EDampier,DNowitzki,JTerry,AWright,DAL,28,157,5.9,93.38,2009
83,CBillups,KMartin,Nene,DJones,JSmith,DEN,19,155,6.3,95.1,2009
84,HWarrick,RGay,KLowry,MGasol,OMayo,MEM,36,155,-14.9,96.52,2009
85,LAldridge,BRoy,SRodriguez,GOden,NBatum,POR,15,151,0.8,87.54,2009
86,AKirilenko,MOkur,KKorver,DWilliams,PMillsap,UTA,30,150,21.2,92.04,2009
87,AMiller,SDalembert,REvans,WGreen,AIguodala,PHI,18,148,9.8,86.79,2009
88,MOkur,KKorver,DWilliams,RBrewer,PMillsap,UTA,35,148,20.4,102.56,2009
89,PPierce,EHouse,TAllen,LPowe,GDavis,BOS,32,146,3.9,91.84,2009
90,AJohnson,RLewis,HTurkoglu,MPietrus,DHoward,ORL,26,143,11.5,94.13,2009
91,AMcDyess,RWallace,AIverson,TPrince,RStuckey,DET,22,143,3.0,89.52,2009
92,JO'Neal,AParker,CBosh,JCalderon,JMoon,TOR,16,143,3.7,89.35,2009
93,KBryant,LOdom,PGasol,TAriza,JFarmar,LAL,53,143,14.4,103.76,2009
94,LHughes,AHarrington,CDuhon,DLee,WChandler,NYK,17,143,-8.9,98.39,2009
95,LOdom,PGasol,SVujacic,TAriza,JFarmar,LAL,42,143,7.2,102.38,2009
96,BMiller,JSalmons,BUdrih,FGarcia,SHawes,SAC,13,141,-22.7,97.85,2009
97,DFisher,KBryant,PGasol,TAriza,ABynum,LAL,35,141,4.4,94.58,2009
98,JKidd,DNowitzki,JTerry,JHoward,BBass,DAL,26,141,27.4,98.72,2009
99,MMiller,AJefferson,RGomes,RFoye,CSmith,MIN,18,137,-4.6,93.15,2009
100,WSzczerbiak,LJames,DWest,AVarejao,DGibson,CLE,32,136,20.6,96.66,2009
101,RAlston,MWorldPeace,SBattier,Yao,LScola,HOU,9,135,15.2,95.96,2009
102,AMiller,SDalembert,AIguodala,LWilliams,TYoung,PHI,49,133,-9.2,98.14,2009
103,DWade,UHaslem,DCook,MBeasley,MChalmers,MIA,28,133,-10.4,97.83,2009
104,MBibby,JJohnson,ZPachulia,MWilliams,AHorford,ATL,25,133,2.5,87.83,2009
105,TOutlaw,SBlake,LAldridge,BRoy,GOden,POR,36,131,21.1,91.0,2009
106,AHarrington,QRichardson,JJeffries,CDuhon,DLee,NYK,23,130,3.0,97.57,2009
107,JPrzybilla,SBlake,LAldridge,BRoy,RFernandez,POR,39,129,33.6,91.56,2009
108,RButler,DWest,CPaul,HArmstrong,JWright,NOH,11,129,-2.8,91.18,2009
109,KMartin,BUdrih,FGarcia,SHawes,JThompson,SAC,14,127,-2.7,98.75,2009
110,RJefferson,CBell,DGadzuric,CVillanueva,RSessions,MIL,27,126,-7.0,97.37,2009
111,PStojakovic,JPosey,RButler,DWest,CPaul,NOH,24,125,13.0,94.51,2009
112,DFisher,KBryant,LOdom,PGasol,VRadmanovic,LAL,28,123,15.2,103.2,2009
113,VCarter,KDooling,DHarris,BLopez,RAnderson,NJN,23,123,4.8,92.9,2009
114,WSzczerbiak,MWilliams,AVarejao,DGibson,JHickson,CLE,27,123,-23.7,88.61,2009
115,BWallace,LJames,SPavlovic,MWilliams,AVarejao,CLE,12,122,5.6,91.97,2009
116,AJohnson,RLewis,HTurkoglu,DHoward,CLee,ORL,35,121,15.6,94.17,2009
117,TMurphy,DGranger,JJack,BRush,RHibbert,IND,17,121,4.9,98.66,2009
118,AMcDyess,RHamilton,KBrown,TPrince,RStuckey,DET,14,120,-5.8,85.52,2009
119,AMcDyess,RWallace,AIverson,RHamilton,TPrince,DET,18,120,-0.7,89.8,2009
120,AParker,WSolomon,CBosh,JMoon,ABargnani,TOR,15,120,2.2,90.06,2009
121,EWatson,NCollison,JPetro,KDurant,JGreen,OKC,12,120,-22.7,96.82,2009
122,TMurphy,TFord,MDaniels,JJack,RHibbert,IND,13,120,2.6,98.14,2009
123,PStojakovic,MPeterson,TChandler,DWest,CPaul,NOH,8,119,5.1,87.97,2009
124,AMcDyess,RHamilton,TPrince,JMaxiell,RStuckey,DET,23,117,3.8,86.42,2009
